epoch,train_weighted_smooth_l1,val_weighted_smooth_l1
1,0.27178118530322204,0.3038859963417053
2,0.2676668952811848,0.2991175055503845
3,0.2541051275012168,0.2871568202972412
4,0.2415280504660173,0.2777351140975952
5,0.2322171934964982,0.2803615629673004
6,0.2224966741421006,0.26845937967300415
7,0.21329831331968307,0.2606408894062042
8,0.2077870170839808,0.25849059224128723
9,0.19635806706818668,0.24739715456962585
10,0.19285602850670164,0.24638232588768005
11,0.1798919639126821,0.2517402172088623
12,0.16936888173222542,0.2812729775905609
13,0.16925589232282204,0.2246030867099762
14,0.15532023248008706,0.23500600457191467
15,0.15467851236462593,0.21960410475730896
16,0.17224278775128452,0.2476746141910553
17,0.16151937927034768,0.20363260805606842
18,0.14163629024882207,0.203034907579422
19,0.14045686130835253,0.19783933460712433
20,0.13356329619207166,0.19548329710960388
21,0.12576996044001795,0.1863645762205124
22,0.12750331583348187,0.18991900980472565
23,0.12686396805061537,0.1779315024614334
24,0.11464273726398294,0.174405038356781
25,0.11382995960725979,0.1804044395685196
26,0.12020487888631495,0.19415253400802612
27,0.11612421536648815,0.1694006323814392
28,0.1087244117463177,0.16088701784610748
29,0.11289721507240426,0.16164129972457886
30,0.10483322444964539,0.16628557443618774
31,0.10029003684493629,0.1553230732679367
32,0.10165295309641144,0.18752077221870422
33,0.11075130951675502,0.19158394634723663
34,0.10335433601655743,0.18429915606975555
35,0.0918454665013335,0.17931851744651794
36,0.09453835736282847,0.15374436974525452
37,0.09304667806083505,0.15275388956069946
38,0.08893488288264383,0.15269793570041656
39,0.0929159726947546,0.14551083743572235
40,0.094035175120966,0.14414088428020477
41,0.08610947997393933,0.1668282002210617
42,0.09052804154767231,0.140991672873497
43,0.0842454932122068,0.1429685354232788
44,0.09734489370814779,0.19034898281097412
45,0.08541165973821824,0.15534357726573944
46,0.08277137945829467,0.16527073085308075
47,0.09190617307004603,0.15204067528247833
48,0.09954593186690049,0.15807649493217468
49,0.08917667251080275,0.14989684522151947
50,0.0836022260429507,0.1326095163822174
51,0.0829379301179539,0.13532300293445587
52,0.08466408384794538,0.20698709785938263
53,0.0838745477694002,0.13371989130973816
54,0.0800406929444183,0.1368458867073059
55,0.07987426297569816,0.13907481729984283
56,0.07822419868104837,0.17225562036037445
57,0.07856663159856742,0.1291145235300064
58,0.07629330236126076,0.1271112561225891
59,0.08125429075549949,0.12854832410812378
60,0.08112547229128805,0.13007473945617676
