epoch,train_loss,val_loss
1.0,47.03153991699219,39.18415832519531
2.0,46.936073303222656,39.153011322021484
3.0,46.828102111816406,39.16666030883789
4.0,46.70750427246094,39.165287017822266
5.0,46.580039978027344,39.16513442993164
6.0,46.44402313232422,39.16984558105469
7.0,46.38503646850586,39.160770416259766
8.0,46.28847885131836,39.1715087890625
9.0,46.0684928894043,39.1715087890625
10.0,45.93152618408203,39.1715087890625
11.0,45.792144775390625,39.1715087890625
12.0,45.651039123535156,39.17017364501953
