sampler,native_cell_rmse,native_cell_mae,native_cell_bias,train_available_cell_count,train_used_cell_count,train_cell_coverage,best_epoch,training_seconds,inference_seconds,parameter_count,metrics_sha256
legacy_capped_selection,0.8330887484899713,0.5406156727539003,-0.017071795403511128,89865,58103,0.6465587269793579,59,43.97407789999852,0.001533200000267243,33210,5383e18f097fd0d01f3f9a0b735f71a67ed4aaa0b005af35db79ffd8eb2b4321
all_cells_uniform,0.7399935220362437,0.49477721179553286,-0.025921471445116338,89865,89865,1.0,55,77.6253015000002,0.0016268999970634468,33210,113f9a1d636969fa5f728a06c842ce1973600d137a65dcf82b0d1710b7ab317f
all_cells_density_balanced,0.7891800911122893,0.5187942525476842,-0.007060554281707737,89865,89865,1.0,58,75.4745692999968,0.0012487999993027188,33210,a95d738cd15d4a4cef6cc18177c00abd011d6689c205f4ae70a221a3d71d3b83
