epoch,train_loss,val_loss
1.0,0.36086231923547557,0.35069276462146504
2.0,0.35878924890196867,0.35081034355398505
3.0,0.3568889703435697,0.3504902400246189
4.0,0.3517311062962732,0.3461026011594057
5.0,0.3362860051998263,0.3286492464461042
6.0,0.31036902794837784,0.3201170815983052
7.0,0.2934490845474984,0.3126786532821022
8.0,0.2773029739231058,0.2977759612280301
9.0,0.2544611945785138,0.30570328920321915
10.0,0.24500269224921517,0.298278768416953
11.0,0.22443819664804135,0.30301235861288134
12.0,0.21153407878592706,0.308006400375196
13.0,0.19514972086838353,0.2954706274333199
14.0,0.18002684346417094,0.3030236878797575
15.0,0.17122423576489612,0.3066913966109608
16.0,0.1510390147944346,0.3098699039704887
17.0,0.1373857899906102,0.3203344662608624
18.0,0.12465459918193805,0.31461542953130145
19.0,0.11333814652999342,0.31131005848196874
20.0,0.0990387965145945,0.32302495461100095
21.0,0.08716284210793476,0.3208904592608639
22.0,0.07996641977842193,0.3279894653586527
23.0,0.07143863136656947,0.33272981837425225
24.0,0.06402137031539043,0.3264302714251668
25.0,0.055392939492647855,0.32688015517808755
