model,n_seeds,rmse_mean,rmse_std,mae_mean,r2_mean,runtime_seconds_mean,peak_gpu_memory_mb_mean
patch_unet_residual,5,1.4164906600717295,0.08253270679340911,0.9993744492530823,0.94967513314168,8.544193699999777,621.07236328125
temporal_channel_cnn,5,1.4502895332306118,0.0829664351980792,1.0206035494804382,0.9471994602793213,7.3724017000000455,587.67041015625
temporal_linear_hybrid,5,1.4361215374698273,0.08350714271150453,1.0068601012229919,0.9484011333517944,9.753517100000135,617.06181640625
