epoch,train_weighted_smooth_l1,val_weighted_smooth_l1
1,0.31170889091762627,0.33413705229759216
2,0.2830521743744612,0.31670600175857544
3,0.270995045080781,0.3089531362056732
4,0.26332410357215186,0.3070465922355652
5,0.25616132230921224,0.2980939447879791
6,0.24941663460975344,0.3113965392112732
7,0.24421193112026562,0.3041233718395233
8,0.2354554577984593,0.2893543243408203
9,0.2293847372586077,0.28498098254203796
10,0.21756993284956974,0.3016478419303894
11,0.2130132629112764,0.2960447072982788
12,0.2142951490188187,0.268353134393692
13,0.19581002504988151,0.25933241844177246
14,0.18538022600114346,0.2592853009700775
15,0.17674960805611176,0.28123772144317627
16,0.17477535964413124,0.23469190299510956
17,0.16949234801259908,0.23166075348854065
18,0.16830364995720712,0.2448299080133438
19,0.15700791649181733,0.23875252902507782
20,0.15039749485863882,0.2503965497016907
21,0.1420758877965537,0.2027941644191742
22,0.1392152654853734,0.22458584606647491
23,0.13968244575980035,0.2077004611492157
24,0.12757960850880903,0.19505083560943604
25,0.13040901999920607,0.4016595184803009
26,0.13234684624793855,0.1794445663690567
27,0.12377451597289606,0.1805870085954666
28,0.12164730510928413,0.1904735565185547
29,0.11440981797535311,0.18381042778491974
30,0.1179542297666723,0.17081642150878906
31,0.12419093696569855,0.19258558750152588
32,0.1168553251773119,0.1858966052532196
33,0.11393541199239818,0.1681436449289322
34,0.10816212718121031,0.39931559562683105
35,0.12673122867603193,0.16295085847377777
36,0.1098461662503806,0.16164201498031616
37,0.09705492193725976,0.15597985684871674
38,0.09787330488589677,0.1718500703573227
39,0.1020789360627532,0.15233886241912842
40,0.10092302073131908,0.1522747278213501
41,0.09856004682792859,0.17838537693023682
42,0.09017943760210817,0.15295717120170593
43,0.09516192126003178,0.15167784690856934
44,0.1126717169007117,0.22137238085269928
45,0.10041411322626201,0.1601814478635788
46,0.08823455412956802,0.15864819288253784
47,0.08883320095694879,0.1861574649810791
48,0.10207050657746466,0.18192949891090393
49,0.09464961078695276,0.14735326170921326
50,0.08596823753958399,0.16532495617866516
51,0.08730149163271893,0.14682407677173615
52,0.08340058585798199,0.14264973998069763
53,0.09349489546465603,0.15575003623962402
54,0.0863506609404629,0.1647181212902069
55,0.0857652301307429,0.15465407073497772
56,0.08034910248931158,0.16775237023830414
57,0.09594159361652353,0.14203982055187225
58,0.0829482354562391,0.13667380809783936
59,0.08217788017778234,0.14135108888149261
60,0.08149690240282904,0.15504084527492523
