epoch,train_weighted_smooth_l1,val_weighted_smooth_l1
1,0.1775229045500358,0.19760392606258392
2,0.14427234951613677,0.1402454674243927
3,0.10120283398363325,0.10234883427619934
4,0.0826974999314795,0.09923826903104782
5,0.0676350772070388,0.08764733374118805
6,0.06286904045070212,0.09721067547798157
7,0.05859843884698219,0.0649336501955986
8,0.05321917675125102,0.06641130149364471
9,0.04988124550113247,0.06045236065983772
10,0.04502730713122421,0.06362146884202957
11,0.044988280006994806,0.0788297951221466
12,0.042667583303733006,0.05572879686951637
13,0.04085173838150998,0.05173620581626892
14,0.04102760846985297,0.08533432334661484
15,0.04067207746104234,0.05131819099187851
16,0.03956519902890755,0.051859963685274124
17,0.0371174375888788,0.06275205314159393
18,0.03764160017534676,0.051094744354486465
19,0.03441163293448173,0.05328505486249924
20,0.03681425756723103,0.047717493027448654
21,0.036190643440932035,0.05064757540822029
22,0.036213000770658255,0.04661034792661667
23,0.03590128793277674,0.051427148282527924
24,0.03352420169135763,0.047923069447278976
25,0.03504268801771104,0.05410027131438255
26,0.032269623557416104,0.05197860300540924
27,0.03459821535377867,0.049331169575452805
28,0.033255060746644936,0.058468274772167206
29,0.03222429391462356,0.04771171510219574
30,0.03269781909572581,0.06094277650117874
31,0.03284006206215256,0.05563412606716156
32,0.03149665582976821,0.05719870701432228
33,0.033622727742315166,0.0453484021127224
34,0.033119068778533906,0.04607302322983742
35,0.03381597144632704,0.05082264542579651
36,0.031254806180691555,0.04810197651386261
37,0.028906725437587336,0.04905633255839348
38,0.030095340839276712,0.04546164721250534
39,0.030380829754802916,0.05441298708319664
40,0.03226068146371593,0.04614923521876335
41,0.03179960533614374,0.05865417420864105
42,0.030821303009159036,0.054029595106840134
43,0.03033197086511387,0.05099467560648918
44,0.02904575102082971,0.046238820999860764
45,0.03100433831827508,0.066827692091465
