epoch,train_loss,val_loss
1.0,66.48196411132812,36.993751525878906
2.0,66.41828155517578,37.002437591552734
3.0,66.32133483886719,37.003395080566406
4.0,66.22882080078125,36.99531936645508
5.0,66.1172866821289,36.99531936645508
6.0,65.99916076660156,36.99531936645508
7.0,65.87777709960938,36.99531555175781
8.0,65.75431823730469,36.987850189208984
9.0,65.63385772705078,36.987850189208984
10.0,65.50322723388672,36.98844528198242
11.0,65.37081909179688,36.98844528198242
12.0,65.23845672607422,36.98844528198242
13.0,65.10538482666016,36.98844528198242
14.0,64.97183990478516,36.98844528198242
15.0,64.83802032470703,36.98844528198242
16.0,64.70407104492188,36.98844528198242
17.0,64.57008361816406,36.98844528198242
18.0,64.43616485595703,36.98844528198242
