stratum,n_valid_cells,rmse,mae,mean_abs_residual
quality_low_rmse,2682,4.3778921104859,3.4457640647888184,3.4457640647888184
quality_mid_rmse,2682,7.0165351668092075,4.387977123260498,4.387977123260498
quality_high_rmse,2764,10.006609449059937,6.4551615715026855,6.4551615715026855
dist_low,2682,8.104034135089469,4.754761219024658,4.754761219024658
dist_mid,2682,6.883125912894785,4.599066734313965,4.599066734313965
dist_high,2764,7.536706997227672,4.980171203613281,4.980171203613281
