grid_size,seed,model,status,rmse,mae,mse,r2,runtime_seconds,peak_gpu_memory_mb,device,error_type,error_message
128,42,persistence,ok,1.3732111304890176,0.9497727155685425,1.8857088088989258,0.8589635117091208,4.700000863522291e-05,0.0,analytical,,
128,42,lasso,ok,1.2383855541114888,0.8924727439880371,1.533598780632019,0.8852986285863462,6.602447100012796,115.9296875,cuda,,
128,42,lightgbm,ok,1.2602153596300119,0.8931310176849365,1.5881427526474,0.8812191597764312,6.054207199980738,16.25,gpu,,
128,42,cnn_lstm_maskaware,ok,4.49390273809503,3.199974298477173,20.195161819458008,-0.5104424872181137,0.8658910999947693,2208.78271484375,cuda,,
128,43,persistence,ok,1.6071021317060123,1.1241652965545654,2.582777261734009,0.9697759414558538,4.270000499673188e-05,0.0,analytical,,
128,43,lasso,ok,1.4330286892496766,1.04291832447052,2.0535712242126465,0.9759687924984985,5.547223399975337,115.18359375,cuda,,
128,43,lightgbm,ok,4.3960056120513,1.4944478273391724,19.324865341186523,0.7738574537443179,2.65187010000227,17.25,gpu,,
128,43,cnn_lstm_maskaware,ok,10.069530992391766,5.848855495452881,101.39545440673828,-0.18654525011793477,0.741250500024762,2208.78271484375,cuda,,
128,44,persistence,ok,1.3714169721737304,0.9779491424560547,1.880784511566162,0.8085443962691046,2.4699984351173043e-05,0.0,analytical,,
128,44,lasso,ok,1.2205326052775707,0.8885434865951538,1.4896998405456543,0.8483550983137422,6.956846300017787,116.34375,cuda,,
128,44,lightgbm,ok,1.2313483591052747,0.8975046873092651,1.5162187814712524,0.8456555865865927,2.339897999976529,17.25,gpu,,
128,44,cnn_lstm_maskaware,ok,4.287438368284822,3.3084421157836914,18.38212776184082,-0.8712198802461713,0.7485503999923822,2208.78271484375,cuda,,
128,45,persistence,ok,1.6110355735843476,1.129980444908142,2.595435619354248,0.9243756116754781,2.300000051036477e-05,0.0,analytical,,
128,45,lasso,ok,1.4615752924012044,1.061499834060669,2.136202335357666,0.9377565007799992,5.363722600013716,119.87158203125,cuda,,
128,45,lightgbm,ok,1.564696179962615,1.1186459064483643,2.4482741355895996,0.9286635227728066,2.495612600003369,17.25,gpu,,
128,45,cnn_lstm_maskaware,ok,6.668333449220295,4.434619903564453,44.466670989990234,-0.2956456208620728,0.8067238999938127,2208.78271484375,cuda,,
128,46,persistence,ok,1.4124862568954712,0.941460132598877,1.995117425918579,0.9759648247436067,2.7000001864507794e-05,0.0,analytical,,
128,46,lasso,ok,1.2265804799699789,0.8287625312805176,1.5044996738433838,0.9818752961306516,5.505344299977878,115.17626953125,cuda,,
128,46,lightgbm,ok,4.277028696659154,1.2925007343292236,18.2929744720459,0.7796245765533132,3.2713984999863897,17.25,gpu,,
128,46,cnn_lstm_maskaware,ok,9.957171086331723,5.722451686859131,99.14525604248047,-0.19440269900785578,0.7396948000241537,2208.78271484375,cuda,,
256,42,persistence,ok,1.5689308578982168,1.0738111734390259,2.4615440368652344,0.9454840238524412,3.480000304989517e-05,0.0,analytical,,
256,42,lasso,ok,1.3897747483689284,0.9727484583854675,1.9314738512039185,0.9572235220778814,5.895231400005287,266.14306640625,cuda,,
256,42,lightgbm,ok,2.0183527032923894,1.0629000663757324,4.073747634887695,0.9097784416417555,3.7731703000026755,17.25,gpu,,
256,42,cnn_lstm_maskaware,ok,7.524633009570031,4.7800397872924805,56.62010192871094,-0.2539690987061607,2.897500899998704,8765.04443359375,cuda,,
256,43,persistence,ok,1.7081644936220628,1.191810131072998,2.917825937271118,0.9454136445738573,4.81999886687845e-05,0.0,analytical,,
256,43,lasso,ok,1.4530274553271347,1.0355910062789917,2.1112887859344482,0.9605022505788884,5.915012899989961,266.51806640625,cuda,,
256,43,lightgbm,ok,2.594822673288205,1.16779625415802,6.733104705810547,0.8740378496093806,4.031581000017468,17.25,gpu,,
256,43,cnn_lstm_maskaware,ok,8.105707357180735,4.915291786193848,65.7024917602539,-0.22915473529861852,3.434483099990757,8765.04443359375,cuda,,
256,44,persistence,ok,1.465097878346903,1.0440624952316284,2.1465117931365967,0.9509176419400929,4.8600020818412304e-05,0.0,analytical,,
256,44,lasso,ok,1.3025540480135636,0.9345317482948303,1.696647047996521,0.9612042942990886,5.904320999979973,266.11181640625,cuda,,
256,44,lightgbm,ok,2.4701184693006875,1.0517979860305786,6.101485252380371,0.860482804157467,3.424291799979983,17.25,gpu,,
256,44,cnn_lstm_maskaware,ok,7.63848984417793,4.560973167419434,58.346527099609375,-0.33415774912582896,3.116553399973782,8765.04443359375,cuda,,
256,45,persistence,ok,1.5651321366318558,1.1003998517990112,2.449638605117798,0.9194453555214142,4.1000021155923605e-05,0.0,analytical,,
256,45,lasso,ok,1.4257530732179415,1.0286909341812134,2.0327718257904053,0.9331537275061154,6.184395000018412,265.73486328125,cuda,,
256,45,lightgbm,ok,1.4626685510001365,1.0440605878829956,2.139399290084839,0.9296473632422994,4.162757299985969,17.25,gpu,,
256,45,cnn_lstm_maskaware,ok,6.818299231240756,4.780675411224365,46.48920440673828,-0.528764703798025,3.1210504999908153,8765.04443359375,cuda,,
256,46,persistence,ok,1.4870989250775883,1.058908462524414,2.211463212966919,0.9347789091450484,4.069998976774514e-05,0.0,analytical,,
256,46,lasso,ok,1.3468093643658265,0.9724681973457336,1.8138954639434814,0.9465040892036617,6.119399699993664,266.51220703125,cuda,,
256,46,lightgbm,ok,1.7664603898644207,1.0493122339248657,3.120382308959961,0.907972809266209,3.66427670000121,17.25,gpu,,
256,46,cnn_lstm_maskaware,ok,6.630424438055211,4.370077610015869,43.962528228759766,-0.2965551961323025,3.3598248999915086,8765.04443359375,cuda,,
512,42,persistence,ok,1.5460197319212547,1.067414402961731,2.390177011489868,0.9337249257189548,0.00025610000011511147,0.0,analytical,,
512,42,lasso,ok,1.3193270826289636,0.9337083101272583,1.740623950958252,0.9517358002971896,7.693960600008722,751.833984375,cuda,,
512,42,lightgbm,ok,2.068988419822562,0.9810199737548828,4.280713081359863,0.8813039558131063,7.281047199998284,17.25,gpu,,
512,42,cnn_lstm_maskaware,failed,,,,,,,,OutOfMemoryError,"CUDA out of memory. Tried to allocate 4.69 GiB. GPU 0 has a total capacity of 22.49 GiB of which 0 bytes is free. Of the allocated memory 27.27 GiB is allocated by PyTorch, and 6.92 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
512,43,persistence,ok,1.6187338691997624,1.119185209274292,2.6202993392944336,0.9453813162933293,0.0002395999908912927,0.0,analytical,,
512,43,lasso,ok,1.3711480893400978,0.962024986743927,1.880047082901001,0.9608114643442967,7.642053299990948,751.833984375,cuda,,
512,43,lightgbm,ok,2.098079816225466,1.0595293045043945,4.4019389152526855,0.9082440318797006,10.232213799987221,17.25,gpu,,
512,43,cnn_lstm_maskaware,skipped_after_oom,,,,,,,,OutOfMemoryError,Skipped because this model-resolution pair already OOMed on an earlier seed.
512,44,persistence,ok,1.5782640603616132,1.1030045747756958,2.490917444229126,0.9281559439913472,0.0002536000101827085,0.0,analytical,,
512,44,lasso,ok,1.3847057076688123,0.9822311401367188,1.917409896850586,0.944697279235252,7.780899800010957,751.833984375,cuda,,
512,44,lightgbm,ok,1.829416584966726,1.048654556274414,3.3467650413513184,0.9034712341330534,7.352007300010882,17.25,gpu,,
512,44,cnn_lstm_maskaware,skipped_after_oom,,,,,,,,OutOfMemoryError,Skipped because this model-resolution pair already OOMed on an earlier seed.
512,45,persistence,ok,1.4986488296684943,1.0373698472976685,2.245948314666748,0.9470689318337175,0.00024360002134926617,0.0,analytical,,
512,45,lasso,ok,1.347820017718712,0.9507666826248169,1.816618800163269,0.957187091064753,7.744263500004308,751.833984375,cuda,,
512,45,lightgbm,ok,2.0099377498191813,1.0721445083618164,4.039849758148193,0.9047914114149388,6.442424299981212,17.25,gpu,,
512,45,cnn_lstm_maskaware,skipped_after_oom,,,,,,,,OutOfMemoryError,Skipped because this model-resolution pair already OOMed on an earlier seed.
512,46,persistence,ok,1.5868271460572614,1.109237790107727,2.5180203914642334,0.9332399212563424,0.00021949998335912824,0.0,analytical,,
512,46,lasso,ok,1.4199586467362921,1.0177956819534302,2.016282558441162,0.9465424535650617,7.808471299998928,751.833984375,cuda,,
512,46,lightgbm,ok,1.4692520744409046,1.0398353338241577,2.1587016582489014,0.9427665089305297,7.3533373000100255,17.25,gpu,,
512,46,cnn_lstm_maskaware,skipped_after_oom,,,,,,,,OutOfMemoryError,Skipped because this model-resolution pair already OOMed on an earlier seed.
