grid_size,model,rmse_mean,rmse_std,mae_mean,mae_std,mse_mean,mse_std,r2_mean,r2_std,runtime_seconds_mean,runtime_seconds_std,peak_gpu_memory_mb_mean,peak_gpu_memory_mb_std
128,cnn_lstm_maskaware,7.095275326864727,2.822676531256771,4.502868700027466,1.2676661331149874,56.71693420410156,41.07857973876043,-0.41165118749042967,0.2882229972348603,0.780422140005976,0.05523963050277089,2208.78271484375,0.0
128,lasso,1.3160205242019838,0.12043852579952073,0.9428393840789795,0.10319213628200688,1.7435143709182739,0.32247228019694313,0.9258508632618476,0.05797060771637559,5.995116739999503,0.7302256431846887,116.5009765625,1.9495139653365336
128,lightgbm,2.545858841481671,1.6403878565135668,1.1392460346221924,0.25936998784319765,8.634095096588135,9.302694607536413,0.8418040598866924,0.06632492006021441,3.362597279989859,1.5456220880208393,17.05,0.4472135954999579
128,persistence,1.475050412969716,0.12344535578675903,1.0246655464172363,0.09448006075598771,2.1879647254943846,0.3690588950338925,0.9075248571706329,0.07245431404818013,3.288000007160008e-05,1.1123270270004307e-05,0.0,0.0
256,cnn_lstm_maskaware,7.343510776044932,0.6093235664718744,4.681411552429199,0.21547333617140838,54.22417068481445,8.938920137044482,-0.3285202966121871,0.11893566224342092,3.185882559989113,0.2146112044986796,8765.04443359375,0.0
256,lasso,1.3835837378586788,0.060326562420309725,0.9888060688972473,0.04257378190732406,1.917215394973755,0.16624265186204676,0.9517175767331271,0.01192980185538787,6.00367199999746,0.13742645690355776,266.20400390625,0.3263162807208316
256,lightgbm,2.0624845573491677,0.4740533845476822,1.0751734256744385,0.05223228120009371,4.433623838424682,1.9485221598960654,0.8963838535834222,0.028321410634840467,3.811215419997461,0.29363710109606084,17.25,0.0
256,persistence,1.5588848583153252,0.09535929154218042,1.0937984228134154,0.05860958918887822,2.4373967170715334,0.3029872851075443,0.9392079150065709,0.01250193161966293,4.2660004692152145e-05,5.7955164502894904e-06,0.0,0.0
512,cnn_lstm_maskaware,,,,,,,,,,,,
512,lasso,1.3685919088185756,0.03795795336918577,0.9693053603172302,0.03233505631857408,1.874196457862854,0.10397943590799943,0.9521948177013106,0.006847305912939196,7.733929700002773,0.06691081691457765,751.833984375,0.0
512,lightgbm,1.895134929054968,0.25994540664342786,1.040236735343933,0.03524186036967999,3.645593690872192,0.9261505093198458,0.9081154284342657,0.02209177795228412,7.732205979997525,1.449587237787432,17.25,0.0
512,persistence,1.5656987274416772,0.04555210089000138,1.0872423648834229,0.03403309926958883,2.453072500228882,0.14183754335035317,0.9375142078187382,0.00826724611139766,0.00024248000117946,1.4549820400129893e-05,0.0,0.0
