epoch,train_standardized_mse,val_native_cell_rmse
1,0.133658208291639,1.8542860742434948
2,0.08794971589337695,1.6639404650342449
3,0.07738188823515718,1.587013914492238
4,0.07189915329217911,1.5441453529279985
5,0.06824262338605794,1.5037282904261309
6,0.06591955352235924,1.4850008751793966
7,0.06404576467519457,1.4622116353450985
8,0.06267561577260494,1.4472571953470097
9,0.06177743829109452,1.4404971859670728
10,0.0611609181558544,1.4298927521460036
11,0.06057166748426177,1.4302608728853978
12,0.06027335487306118,1.417466983969595
13,0.0599374957382679,1.414871155630544
14,0.05944869582625953,1.4102580561653022
15,0.05953993478959257,1.4062569013860449
16,0.058990351178429344,1.4124297682028897
17,0.05910125882788138,1.4030014319708313
18,0.05843722583218054,1.3969831014581633
19,0.05864345366981896,1.4048324009969868
20,0.05818377215076576,1.392851258569818
21,0.05806719647212462,1.4292036347007109
22,0.057967537167397415,1.3885717476574815
23,0.057437837293202225,1.3913905089242247
24,0.057302762838927185,1.387647773186952
25,0.05719188414514065,1.3802070409263938
26,0.05765798671001738,1.3817002241173082
27,0.05712790313092145,1.386509641924523
28,0.05676900036633015,1.3903525400811696
29,0.056718528948046944,1.3787867378196714
30,0.05632772076536308,1.3706439146956921
31,0.05633368918841535,1.3704950065655563
32,0.05620140412991697,1.3705091246970489
33,0.05576592412861911,1.3665122625929076
34,0.05573981526223096,1.3623791795984177
35,0.05555361746387048,1.363904700941873
36,0.05537021210925146,1.361387094682714
37,0.055210467597300354,1.357429152832958
38,0.055055064064535225,1.3556946259077425
39,0.055036640133370056,1.3656402771876723
40,0.05482008240439675,1.3504529834127341
41,0.05501720630987124,1.355935588070922
42,0.05459494956515052,1.350522047785712
43,0.05430228161540898,1.357932731320458
44,0.054588865150104866,1.3553468238305642
45,0.05422808856449344,1.3403120631114154
46,0.05392099239609458,1.3426649260388994
47,0.05380016633055427,1.340461448205453
48,0.05372380397536538,1.3501378056664375
49,0.0535795758055015,1.3359967799064454
50,0.05338375050235878,1.3412766749063767
51,0.05356609702787616,1.3315062601639611
52,0.05331467176702889,1.3341010391824282
53,0.05339518392627889,1.3544275236062722
54,0.053112315691330216,1.3253980696521976
55,0.05284323594109579,1.3262698642718722
56,0.05301310189745643,1.3377510531371946
57,0.05253355645320632,1.329082329615112
58,0.05236366272649982,1.3654602710111403
59,0.05245740745555271,1.3212212967643047
60,0.05226506987078623,1.318565847937531
