epoch,train_loss,val_loss
1.0,37.33354949951172,37.293357849121094
2.0,37.293357849121094,37.20195388793945
3.0,37.20195388793945,37.09176254272461
4.0,37.09176254272461,36.98705291748047
5.0,36.98705291748047,36.87931442260742
6.0,36.87931442260742,36.769859313964844
7.0,36.769859313964844,36.659400939941406
8.0,36.659400939941406,36.66722869873047
9.0,36.66722869873047,36.567466735839844
10.0,36.567466735839844,36.4655876159668
11.0,36.4655876159668,36.37232208251953
12.0,36.37232208251953,36.257633209228516
13.0,36.257633209228516,36.152252197265625
14.0,36.152252197265625,36.04625701904297
15.0,36.04625701904297,35.93983840942383
16.0,35.93983840942383,35.833152770996094
17.0,35.833152770996094,35.72633361816406
18.0,35.72633361816406,35.619476318359375
19.0,35.619476318359375,35.512672424316406
20.0,35.512672424316406,35.40599060058594
21.0,35.40599060058594,35.29949188232422
22.0,35.29949188232422,35.1932258605957
23.0,35.1932258605957,35.08723068237305
24.0,35.08723068237305,34.981544494628906
25.0,34.981544494628906,34.87619400024414
26.0,34.87619400024414,34.771202087402344
27.0,34.771202087402344,34.666587829589844
28.0,34.666587829589844,34.5623779296875
29.0,34.5623779296875,34.45857238769531
30.0,34.45857238769531,34.35519027709961
31.0,34.35519027709961,34.25224304199219
32.0,34.25224304199219,34.149742126464844
33.0,34.149742126464844,34.04768371582031
34.0,34.04768371582031,33.946083068847656
35.0,33.946083068847656,33.844940185546875
36.0,33.844940185546875,33.7442626953125
37.0,33.7442626953125,33.6440544128418
38.0,33.6440544128418,33.5443115234375
39.0,33.5443115234375,33.445045471191406
40.0,33.445045471191406,33.34624481201172
41.0,33.34624481201172,33.2479248046875
42.0,33.2479248046875,33.15007781982422
43.0,33.15007781982422,33.052703857421875
44.0,33.052703857421875,32.955806732177734
45.0,32.955806732177734,32.85938262939453
46.0,32.85938262939453,32.763431549072266
47.0,32.763431549072266,32.66794967651367
48.0,32.66794967651367,32.572940826416016
49.0,32.572940826416016,32.478397369384766
50.0,32.478397369384766,32.38432312011719
