seed,model,rmse,mae,mse,r2,runtime_seconds,peak_gpu_memory_mb,best_epoch,train_patch_count,val_patch_count,metrics_path
42,cnn_lstm_hybrid,1.2741150253056652,0.8871787190437317,1.6233690977096558,0.9640471380842656,1011.4095482999983,1700.23681640625,59,659,173,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\nontransformer_round3_cnnlstm_3seed\cnn_lstm_hybrid\linear\split_seed_42\metrics.json
43,cnn_lstm_hybrid,1.3866169207083177,0.9722277522087097,1.9227064847946167,0.9640302274605248,1120.0756008000026,1700.23681640625,60,643,187,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\nontransformer_round3_cnnlstm_3seed\cnn_lstm_hybrid\linear\split_seed_43\metrics.json
44,cnn_lstm_hybrid,1.254109684018244,0.8995755910873413,1.5727910995483398,0.9640363962807182,1092.0543631000037,1700.23681640625,59,657,187,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\nontransformer_round3_cnnlstm_3seed\cnn_lstm_hybrid\linear\split_seed_44\metrics.json
