epoch,train_loss,val_loss
1.0,37.33860397338867,37.271934509277344
2.0,37.271934509277344,37.215179443359375
3.0,37.215179443359375,37.141265869140625
4.0,37.141265869140625,37.059730529785156
5.0,37.059730529785156,36.97642517089844
6.0,36.97642517089844,36.89063262939453
7.0,36.89063262939453,36.80320739746094
8.0,36.80320739746094,36.714691162109375
9.0,36.714691162109375,36.625465393066406
10.0,36.625465393066406,36.53569030761719
11.0,36.53569030761719,36.44563293457031
12.0,36.44563293457031,36.34690856933594
13.0,36.34690856933594,36.254966735839844
14.0,36.254966735839844,36.162933349609375
15.0,36.162933349609375,36.070892333984375
16.0,36.070892333984375,35.978912353515625
17.0,35.978912353515625,35.88705825805664
18.0,35.88705825805664,35.79536056518555
19.0,35.79536056518555,35.70386505126953
20.0,35.70386505126953,35.61259460449219
21.0,35.61259460449219,35.521575927734375
22.0,35.521575927734375,35.430824279785156
23.0,35.430824279785156,35.340370178222656
24.0,35.340370178222656,35.250213623046875
25.0,35.250213623046875,35.160369873046875
26.0,35.160369873046875,35.07085418701172
27.0,35.07085418701172,34.981666564941406
28.0,34.981666564941406,34.892822265625
29.0,34.892822265625,34.8043212890625
30.0,34.8043212890625,34.71617126464844
31.0,34.71617126464844,34.628379821777344
32.0,34.628379821777344,34.538429260253906
33.0,34.538429260253906,34.453861236572266
34.0,34.453861236572266,34.36714553833008
35.0,34.36714553833008,34.280792236328125
36.0,34.280792236328125,34.194801330566406
37.0,34.194801330566406,34.10917663574219
38.0,34.10917663574219,34.02391052246094
39.0,34.02391052246094,33.93901062011719
40.0,33.93901062011719,33.85447311401367
41.0,33.85447311401367,33.770294189453125
42.0,33.770294189453125,33.68647384643555
43.0,33.68647384643555,33.6030158996582
44.0,33.6030158996582,33.51991653442383
45.0,33.51991653442383,33.437171936035156
46.0,33.437171936035156,33.35478591918945
47.0,33.35478591918945,33.27275466918945
48.0,33.27275466918945,33.19107437133789
49.0,33.19107437133789,33.109745025634766
50.0,33.109745025634766,33.02876281738281
