alpha,val_rmse,best_epoch
0.0001,1.2865240573883057,600.0
0.0005,1.286557912826538,600.0
0.001,1.286600112915039,600.0
0.005,1.2869389057159424,600.0
0.01,1.2873643636703491,600.0
