alpha,val_rmse,best_epoch
0.0001,1.39307701587677,600.0
0.0005,1.3931077718734741,600.0
0.001,1.393146276473999,600.0
0.005,1.3934557437896729,600.0
0.01,1.3938475847244263,600.0
