model,input_interpolation,target_interpolation,operator_match,analytic_test_rmse,pseudo_target_test_rmse,pseudo_target_distortion_rmse,optimism_gap_mm,training_seconds,inference_seconds,best_epoch,parameter_count
lasso,idw,idw,True,0.5669490694999695,0.2968645989894867,0.4366946220397949,0.2700844705104828,4.491536200046539,0.001110999844968319,300,301
cnn_lstm_hybrid,idw,idw,True,0.5231903195381165,0.18463975191116333,0.4366946220397949,0.3385505676269531,46.278929099906236,0.34614659985527396,40,424900
lasso,idw,linear,False,0.5506569743156433,0.4891014099121094,0.1274874359369278,0.061555564403533936,2.7353763999417424,0.001768799964338541,300,301
cnn_lstm_hybrid,idw,linear,False,0.5091707706451416,0.44140490889549255,0.1274874359369278,0.06776586174964905,47.32430920004845,0.36462390003725886,39,424900
lasso,idw,nearest,False,0.5586057901382446,0.4313768744468689,0.492440402507782,0.12722891569137573,3.145607199985534,0.0012483997270464897,300,301
cnn_lstm_hybrid,idw,nearest,False,0.46084892749786377,0.356134831905365,0.492440402507782,0.10471409559249878,47.84281590022147,0.3467750996351242,40,424900
