model,seed_count,rmse_mean,rmse_sd,mae_mean,mae_sd,core_seconds_mean,core_seconds_sd,parameter_count
Persistence,4,1.631767451763153,0.30372530931780256,1.0130662471055984,0.21333375663654583,0.00013837499955116073,1.9891265797470866e-05,0
DLinear,4,1.325346902012825,0.26229694721586894,0.8161630481481552,0.18658792650703668,46.042508075000114,4.561317093759563,602
LASSO,4,1.4192622900009155,0.2696320355327159,0.8894122391939163,0.20137876780543607,7.585922875002325,0.28948626052646187,301
Causal TCN,4,1.3898815164939429,0.28348838248779396,0.8551880905605236,0.19542162960869422,145.34875677500168,5.29811597390213,21953
SPAR,4,0.8266298686610501,0.13338658152282082,0.5623375041129921,0.09806471769189187,68.17165999999906,5.6695815109972605,33210
