model,origin_count,rmse_mean,rmse_sd,rmse_min,rmse_max,spar_wins,spar_reduction_percent_mean
Persistence,4,1.8222692608833313,0.2309246006656497,1.4792588949203491,1.9608252048492432,4,16.977682422744152
DLinear,4,1.4850389659404755,0.2097621278282164,1.1959525346755981,1.654158353805542,1,-1.7982232581658875
LASSO,4,1.5489355325698853,0.21925250800450816,1.2821704149246216,1.7485750913619995,4,2.4359219585500935
Causal TCN,4,1.4813669905834832,0.21337483248085923,1.173142223855134,1.6345672729424334,1,-2.147698007074053
SPAR,4,1.511065904258117,0.21211334114098826,1.2389197407952197,1.6885403122919087,,
