seed,pseudo_target_test_rmse,analytic_test_rmse,optimism_gap_mm,pseudo_target_distortion_rmse,training_seconds,best_epoch
42,0.18463975191116333,0.5231903195381165,0.3385505676269531,0.4366946220397949,103.12972440000158,40
43,0.4044182002544403,0.5437160730361938,0.13929787278175354,0.38686424493789673,42.8030992999993,7
44,0.2570348083972931,0.9080739617347717,0.6510391235351562,0.9638140797615051,23.234881700002006,1
45,0.20956742763519287,0.3036329448223114,0.09406551718711853,0.21409346163272858,101.65210320000187,35
46,0.2696259915828705,0.5269859433174133,0.25735995173454285,0.5342339277267456,27.157683099998394,3
47,0.21463842689990997,0.29813632369041443,0.08349789679050446,0.20353494584560394,98.96778389999963,32
48,0.20299778878688812,0.4261587858200073,0.2231609970331192,0.43708670139312744,47.55513390000124,10
49,0.18165728449821472,0.6261752247810364,0.44451794028282166,0.57500821352005,48.48656919999485,17
50,0.1877356916666031,0.21429911255836487,0.02656342089176178,0.1673819124698639,65.10596419999638,18
51,0.17379482090473175,1.0303326845169067,0.8565378785133362,1.031127691268921,95.72254909999901,31
