seed,model,rmse,mae,bias,training_seconds,inference_seconds,core_seconds,parameter_count,train_cells,val_cells,test_cells,test_train_ratio
47,Persistence,1.891150951385498,1.2252825498580933,0.1898573637008667,0.0,0.0001370999998471234,0.0001370999998471234,0,87503,22324,18930,0.2163354399277739
47,DLinear,1.530326247215271,0.9864662885665894,0.05715618282556534,46.440626200001134,0.0036093000016990118,46.44423550000283,602,87503,22324,18930,0.2163354399277739
47,LASSO,1.647120714187622,1.087647795677185,0.09901973605155945,7.71427390000099,0.012430999999196501,7.726704900000186,301,87503,22324,18930,0.2163354399277739
47,Causal TCN,1.6137162730551649,1.0358455007833838,-8.680021013460397e-05,147.65011479999885,0.14098830000148155,147.79110310000033,21953,87503,22324,18930,0.2163354399277739
47,SPAR,0.8970147457033543,0.6303761748853841,0.04338109582520892,71.91134650000095,0.0012410999988787808,71.91258759999982,33210,87503,22324,18930,0.2163354399277739
48,Persistence,1.2067033052444458,0.7343651056289673,0.18682478368282318,0.0,0.0001646999990043696,0.0001646999990043696,0,89568,19288,19901,0.2221887281171847
48,DLinear,0.9502289891242981,0.5657371878623962,0.049388185143470764,46.34954859999925,0.002447700000629993,46.35199629999988,602,89568,19288,19901,0.2221887281171847
48,LASSO,1.035205602645874,0.6206831932067871,0.03691038489341736,7.6366868000004615,0.008735800001886673,7.645422600002348,301,89568,19288,19901,0.2221887281171847
48,Causal TCN,0.9854394027016602,0.5931954621904777,0.004717573989252907,144.1361934000015,0.19502970000030473,144.3312231000018,21953,89568,19288,19901,0.2221887281171847
48,SPAR,0.6492420070748803,0.43662193456672077,0.042949692014219006,69.89338850000058,0.0013876000011805445,69.89477610000176,33210,89568,19288,19901,0.2221887281171847
49,Persistence,1.627824068069458,0.9701060652732849,0.1372034251689911,0.0,0.00011640000229817815,0.00011640000229817815,0,89394,19553,19810,0.22160323959102401
49,DLinear,1.3426094055175781,0.7872350811958313,0.009647673927247524,40.12113210000098,0.0021919999999227002,40.1233241000009,602,89394,19553,19810,0.22160323959102401
49,LASSO,1.4404125213623047,0.8627601861953735,-0.0035586722660809755,7.794998200002738,0.013266900001326576,7.808265100004064,301,89394,19553,19810,0.22160323959102401
49,Causal TCN,1.4056464178856272,0.825201988080681,0.018385780348448608,138.31889740000042,0.1451511000013852,138.4640485000018,21953,89394,19553,19810,0.22160323959102401
49,SPAR,0.8051959331100549,0.5330679114787628,0.043713694070510525,59.75677409999844,0.002155099999072263,59.75892919999751,33210,89394,19553,19810,0.22160323959102401
50,Persistence,1.8013914823532104,1.1225112676620483,0.1047007218003273,0.0,0.00013529999705497175,0.00013529999705497175,0,89099,20512,19146,0.2148845666056858
50,DLinear,1.4782229661941528,0.925213634967804,0.014483536593616009,51.24802329999875,0.0024530999980925117,51.25047639999684,602,89099,20512,19146,0.2148845666056858
50,LASSO,1.5543103218078613,0.9865577816963196,-0.0015541091561317444,7.153659700001299,0.00963920000140206,7.163298900002701,301,89099,20512,19146,0.2148845666056858
50,Causal TCN,1.5547239723333186,0.966509411187552,-0.03890169353447998,150.6697251000005,0.13892730000225129,150.80865240000276,21953,89099,20512,19146,0.2148845666056858
50,SPAR,0.9550667887559113,0.6492839955211006,0.026677276337729233,71.11864459999924,0.001702499997918494,71.12034709999716,33210,89099,20512,19146,0.2148845666056858
