baseline,candidate,pair_count,baseline_rmse_mean,candidate_rmse_mean,ratio_of_means_reduction_percent,paired_difference_mean_mm,paired_difference_sd_mm,wins,ordinary_paired_t_two_sided_p,mean_test_train_ratio,corrected_resampled_se_mm,corrected_resampled_ci95_low_mm,corrected_resampled_ci95_high_mm,corrected_resampled_t_two_sided_p,exact_wilcoxon_greater_statistic,exact_wilcoxon_greater_p
Persistence,SPAR,4,1.631767451763153,0.8266298686610501,49.34144152906946,0.8051375831021029,0.18171985667537144,4,0.0030298189653175946,0.2187529935604171,0.12441547808266436,0.40919200455775256,1.2010831616464532,0.007487824684798488,10.0,0.0625
DLinear,SPAR,4,1.325346902012825,0.8266298686610501,37.629169585288615,0.49871703335177486,0.14060290443493517,4,0.0057620136011725075,0.2187529935604171,0.09626453539600709,0.192360318350846,0.8050737483527037,0.013961085053063864,10.0,0.0625
LASSO,SPAR,4,1.4192622900009155,0.8266298686610501,41.75637058175364,0.5926324213398654,0.15206033853333362,4,0.004394607131874309,0.2187529935604171,0.10410892932759254,0.26131134385416804,0.9239534988255627,0.010747728214683795,10.0,0.0625
Causal TCN,SPAR,4,1.3898815164939429,0.8266298686610501,40.525155644470175,0.5632516478328925,0.1610482489524808,4,0.005998950740504327,0.2187529935604171,0.11026255057857118,0.2123470011328995,0.9141562945328855,0.014512972744004681,10.0,0.0625
