target_col,target_date,history_date_start,history_date_end,forecast_horizon_days,model,rmse,mae,bias,core_seconds
252,20211222,20180106,20211210,12,Persistence,1.9608252048492432,1.3041468858718872,-0.04295298829674721,0.00010409999958937988
252,20211222,20180106,20211210,12,DLinear,1.4655489921569824,0.9864358305931091,0.006675404962152243,28.178681700002926
252,20211222,20180106,20211210,12,LASSO,1.4581148624420166,0.9804030060768127,-0.0227148849517107,8.777264000000287
252,20211222,20180106,20211210,12,Causal TCN,1.5036645214491065,1.0059716576099302,-0.07506057555618516,217.964355899996
252,20211222,20180106,20211210,12,SPAR,1.4467457520471734,0.965854173784065,-0.047005057205508544,29.47740039999917
272,20220421,20180506,20220409,12,Persistence,1.4792588949203491,0.9667406678199768,0.002218702109530568,9.439999848837033e-05
272,20220421,20180506,20220409,12,DLinear,1.1959525346755981,0.763155460357666,0.0012675910256803036,88.08264229999986
272,20220421,20180506,20220409,12,LASSO,1.2821704149246216,0.8359339833259583,-0.0007696535903960466,8.94955530000152
272,20220421,20180506,20220409,12,Causal TCN,1.173142223855134,0.7484796044786204,0.015454745761030765,278.71244619999925
272,20220421,20180506,20220409,12,SPAR,1.2389197407952197,0.7972327031698954,-0.009456913643140233,39.46372149999661
292,20220819,20180903,20220807,12,Persistence,1.9578419923782349,1.2770205736160278,0.10690966993570328,0.00011760000052163377
292,20220819,20180903,20220807,12,DLinear,1.654158353805542,1.0671190023422241,0.05197964236140251,87.15092999999979
292,20220819,20180903,20220807,12,LASSO,1.7485750913619995,1.1523573398590088,0.07182547450065613,8.882683400002861
292,20220819,20180903,20220807,12,Causal TCN,1.6345672729424334,1.0498660045117534,0.022169637358100465,260.00160620000315
292,20220819,20180903,20220807,12,SPAR,1.6885403122919087,1.0884350118229762,0.06961218869166987,37.21351140000115
312,20221217,20190101,20221205,12,Persistence,1.891150951385498,1.2252825498580933,0.1898573637008667,0.00011269999959040433
312,20221217,20190101,20221205,12,DLinear,1.6244959831237793,1.047043800354004,0.07293061912059784,88.17313859999922
312,20221217,20190101,20221205,12,LASSO,1.7068817615509033,1.1282649040222168,0.10064797103404999,9.08300429999872
312,20221217,20190101,20221205,12,Causal TCN,1.6140939440872586,1.0369037476895162,0.012276274904144294,259.7490312000009
312,20221217,20190101,20221205,12,SPAR,1.6700578118981664,1.0674775820506892,-0.054082317766032395,37.18618329999663
