epoch,train_standardized_mse,val_native_cell_rmse
1,0.19683889985423197,1.8974593620266325
2,0.07196455944160168,1.8115773095057879
3,0.06623179203068669,1.7712220062071036
4,0.0627755057066679,1.750485409308744
5,0.06045184322548183,1.733027936960503
6,0.059015194631435654,1.7384486394260026
7,0.05799616640433669,1.7106309192803166
8,0.05684498617086898,1.6978840191822129
9,0.05604690948331898,1.694284123209725
10,0.05535009731961922,1.697806858390261
11,0.05473178498108278,1.6951020485151989
12,0.05385511918840083,1.6772488395849283
13,0.05363257373259826,1.677448014799926
14,0.05294118267060681,1.706770370388674
15,0.05291402716697617,1.6655884638092693
16,0.05247332388535142,1.6686909967908152
17,0.05252354024824771,1.6629403221581067
18,0.05215121187608351,1.6617935747785288
19,0.052023522852158006,1.6616506495717562
20,0.051370843525298616,1.6622199456587183
21,0.05121065993708643,1.6480563399631236
22,0.051104372748258436,1.6493711054899465
23,0.05075983419506387,1.6477412144523607
24,0.05053549166768789,1.646481862502414
25,0.05035586883737282,1.647059209241111
26,0.050604856657710945,1.657156085717517
27,0.0502443780106577,1.658795072946024
28,0.05016147599301555,1.6431124033665954
29,0.05010392059656707,1.6505684569661432
30,0.05010633454234763,1.635671091869575
31,0.049613535700535234,1.6403197681998807
32,0.049338021061637184,1.6342166423074571
33,0.04959368612617254,1.6346812799218666
34,0.04920351077717813,1.6333546998022384
35,0.049197242595255375,1.6337231478115046
36,0.04881207352842797,1.6297952661962618
37,0.048906819386915726,1.64315108831649
38,0.048910581125793134,1.6378054555645698
39,0.04837141943756829,1.6289548617982814
40,0.048300078816034576,1.626775226256518
41,0.04820767942477356,1.6300094971755428
42,0.04827515332197601,1.6230869822227845
43,0.047978171655400234,1.632723403241526
44,0.04798844689503312,1.629973426073614
45,0.04794857384298335,1.6227922447261551
46,0.04755587431348183,1.6175790817891442
47,0.04773168469017202,1.6185488193844748
48,0.047439141452989796,1.6158935680668451
49,0.04764347934079441,1.6186209615883322
50,0.047444681763987646,1.6220985294760184
51,0.047554751858115196,1.6178805107365661
52,0.04733613281595436,1.6189311730649194
53,0.04743989074433392,1.6231039199576032
54,0.04707879526540637,1.609815430560975
55,0.046720802572301844,1.616496425961689
56,0.04681950142945756,1.6164213562481098
57,0.04702074457467957,1.6129947061187984
58,0.046685460531576115,1.6128159189179343
59,0.04645969803360375,1.612136632108569
60,0.046779630705714226,1.620091721561757
