epoch,train_raw_point_loss,val_raw_point_loss,gradient_l2_mean,epoch_seconds
1,0.3695359279712041,0.36436583779074927,0.8484530108861434,11.212629199959338
2,0.36493037526424116,0.36074645681814715,0.8210115709748024,10.431282999925315
3,0.3604691609358176,0.3557368422096426,0.38086822227789807,10.737351800315082
4,0.3574091131106401,0.355331997979771,0.22028880126965353,10.67377519980073
5,0.35861427738116336,0.3540331748398868,0.22205999417182726,10.752031399868429
6,0.3568280931466665,0.3524845825000243,0.214448295151576,10.54871159978211
7,0.35174395602483016,0.3516116033900868,0.23625813233546722,10.739273500163108
8,0.3542836125080402,0.35065368766134436,0.19112985619367698,10.788556199986488
9,0.3529756107391455,0.3499634157527577,0.19121751599969009,10.478265100158751
10,0.35392816135516536,0.34915265847336163,0.22131322209651655,10.706994900014251
11,0.35115390366468674,0.3492543778636239,0.19133199015871072,10.466371800284833
12,0.3488186884384889,0.3487068035385825,0.1931909897770637,10.798135499935597
13,0.3488626220287421,0.3484137031165036,0.21301197986572218,10.859273899812251
14,0.35244571360257954,0.34770073132081464,0.26534747466062886,10.457055300008506
15,0.34930348510925585,0.3472245091741735,0.2481156486349228,10.371206999756396
16,0.34789845500236904,0.3482339097694917,0.2233839430488073,10.503870899789035
17,0.345706466680918,0.34672537310556933,0.2055261691029255,10.695304200053215
18,0.3441438533556767,0.34731975333257153,0.19653535385926565,10.491045500151813
19,0.3496861029893924,0.34616547145626764,0.1964240781007669,10.435779300052673
20,0.34941125565614456,0.3469042723829096,0.2614704554852767,10.56330080004409
21,0.34913625587255526,0.3482657874172384,0.21782586054924208,10.648927900008857
22,0.3448680688937505,0.34790435433387756,0.20133086637808725,10.993472499772906
23,0.3474034498899411,0.34650458124550904,0.2885100753643574,10.55436349986121
24,0.34598253973019427,0.3470039652152495,0.20508099500185403,10.42688119970262
25,0.3472309188965039,0.34750006144697015,0.214325009057155,10.445430099964142
26,0.34223760473422515,0.3498308780518445,0.22439765567198777,10.57421959983185
27,0.34422695063627684,0.34878603572195227,0.25440680254728365,10.510969100054353
28,0.33836036691298854,0.3497171293605458,0.24812072305343089,10.37391379987821
29,0.34077655046414107,0.34812019900842145,0.22646745829245982,10.39706930005923
30,0.3368443804673659,0.35162025554613635,0.2268677071118966,10.566486599855125
31,0.33939428627491,0.351239261302081,0.22872122262532896,10.630512099713087
