seed,model,quality_bin,quality_lower,quality_upper,n,rmse,mae,bias
42,persistence,Q1,0.20000000298023224,0.5,4131,0.4608255624771118,0.36804649233818054,0.22212538123130798
42,linear_trend,Q1,0.20000000298023224,0.5,4131,0.49238964915275574,0.387123167514801,-0.046278417110443115
42,dlinear,Q1,0.20000000298023224,0.5,4131,0.31166133284568787,0.24586383998394012,0.045736104249954224
42,lasso,Q1,0.20000000298023224,0.5,4131,0.3283461928367615,0.2609904706478119,0.05010324716567993
42,spar,Q1,0.20000000298023224,0.5,4131,0.3054731488227844,0.24113711714744568,0.015639154240489006
42,persistence,Q2,0.5,0.800000011920929,5795,0.6184564232826233,0.4744435250759125,0.14495255053043365
42,linear_trend,Q2,0.5,0.800000011920929,5795,0.7658605575561523,0.5979664325714111,-0.11990001052618027
42,dlinear,Q2,0.5,0.800000011920929,5795,0.4712979197502136,0.36092132329940796,0.003593102563172579
42,lasso,Q2,0.5,0.800000011920929,5795,0.5143893957138062,0.39711007475852966,-0.00653852429240942
42,spar,Q2,0.5,0.800000011920929,5795,0.40764492750167847,0.3180736005306244,0.0002571147051639855
42,persistence,Q3,0.800000011920929,1.5,5171,1.122140645980835,0.8377876877784729,0.053181201219558716
42,linear_trend,Q3,0.800000011920929,1.5,5171,1.4365688562393188,1.1079984903335571,-0.06959464401006699
42,dlinear,Q3,0.800000011920929,1.5,5171,0.8990049958229065,0.6701179146766663,-0.02935395948588848
42,lasso,Q3,0.800000011920929,1.5,5171,0.98020339012146,0.7437096834182739,-0.05701073259115219
42,spar,Q3,0.800000011920929,1.5,5171,0.6911466121673584,0.5277912616729736,7.935986650409177e-05
42,persistence,Q4,1.5,4.0,5139,2.401679039001465,1.6950185298919678,0.009048452600836754
42,linear_trend,Q4,1.5,4.0,5139,2.78788685798645,2.119553804397583,-0.08140814304351807
42,dlinear,Q4,1.5,4.0,5139,1.935727834701538,1.3765746355056763,-0.06430882215499878
42,lasso,Q4,1.5,4.0,5139,2.1125082969665527,1.5280625820159912,-0.08952824026346207
42,spar,Q4,1.5,4.0,5139,1.5805200338363647,1.1646318435668945,-0.03555164858698845
43,persistence,Q1,0.20000000298023224,0.6000000238418579,3538,0.4742671549320221,0.3659129738807678,0.07156585156917572
43,linear_trend,Q1,0.20000000298023224,0.6000000238418579,3538,0.6783565282821655,0.5278180241584778,-0.2735651135444641
43,dlinear,Q1,0.20000000298023224,0.6000000238418579,3538,0.37034645676612854,0.28849363327026367,-0.029956160113215446
43,lasso,Q1,0.20000000298023224,0.6000000238418579,3538,0.39162349700927734,0.30638065934181213,-0.04145529121160507
43,spar,Q1,0.20000000298023224,0.6000000238418579,3538,0.33716529607772827,0.26492661237716675,0.029062213376164436
43,persistence,Q2,0.6000000238418579,1.0,5993,0.7240799069404602,0.5556148290634155,0.07972635328769684
43,linear_trend,Q2,0.6000000238418579,1.0,5993,1.0723352432250977,0.851440966129303,-0.38318851590156555
43,dlinear,Q2,0.6000000238418579,1.0,5993,0.5922105312347412,0.4577665627002716,-0.03048240952193737
43,lasso,Q2,0.6000000238418579,1.0,5993,0.6348288655281067,0.4925592839717865,-0.054373301565647125
43,spar,Q2,0.6000000238418579,1.0,5993,0.49572116136550903,0.386520117521286,0.06316453963518143
43,persistence,Q3,1.0,1.7000000476837158,5177,1.3405404090881348,0.994398295879364,0.06675680726766586
43,linear_trend,Q3,1.0,1.7000000476837158,5177,1.7298049926757812,1.3148802518844604,-0.16006305813789368
43,dlinear,Q3,1.0,1.7000000476837158,5177,1.0568255186080933,0.7821334004402161,0.006952233612537384
43,lasso,Q3,1.0,1.7000000476837158,5177,1.139798641204834,0.8579909801483154,-0.019360484555363655
43,spar,Q3,1.0,1.7000000476837158,5177,0.864865779876709,0.655012845993042,0.07279235124588013
43,persistence,Q4,1.7000000476837158,5.099999904632568,5152,2.623373508453369,1.8741847276687622,-0.03905279561877251
43,linear_trend,Q4,1.7000000476837158,5.099999904632568,5152,2.9831056594848633,2.2440428733825684,-0.14966343343257904
43,dlinear,Q4,1.7000000476837158,5.099999904632568,5152,2.09015154838562,1.4990160465240479,-0.01155563723295927
43,lasso,Q4,1.7000000476837158,5.099999904632568,5152,2.2502329349517822,1.6341291666030884,-0.034713201224803925
43,spar,Q4,1.7000000476837158,5.099999904632568,5152,1.8867677450180054,1.3863933086395264,0.060615576803684235
44,persistence,Q1,0.30000001192092896,0.8999999761581421,4469,0.7632179856300354,0.6053255796432495,0.317207396030426
44,linear_trend,Q1,0.30000001192092896,0.8999999761581421,4469,1.3212285041809082,0.8517115116119385,0.3018356263637543
44,dlinear,Q1,0.30000001192092896,0.8999999761581421,4469,0.5739735960960388,0.4349381923675537,0.11548387259244919
