variant,direct_raw_rmse,equal_cell_rmse,delta_percent_vs_frozen,parameter_count,training_seconds,best_epoch
frozen_full,0.907241940498352,0.8034402853017659,0.0,33210,19.53174139978364,55
with_global_coordinate,0.9063661694526672,0.7993166704043851,-0.09653114638899404,33338,19.32020299974829,55
with_context_and_coordinates,0.9279772043228149,0.8203166935133093,2.2855274760636526,54010,22.16236610012129,58
grid_history_only,2.9157378673553467,2.276613793303871,221.38481888896348,33210,4.786044499836862,3
no_lasso_anchor,0.9866735339164734,0.8913692046660984,8.755282342270156,33210,18.86070689978078,59
