model,grid_sampled_raw_rmse,direct_raw_rmse,training_seconds,inference_seconds,parameter_count
SPAR,2.8888762261854914,0.907241940498352,19.53174139978364,2.291114999912679,33210
Direct raw LASSO,2.914595731572977,1.2151602506637573,8.06563870003447,0.009200999978929758,301
Raw-supervised Hybrid CNN-LSTM,2.9220664221742365,,328.88750030007213,5.482074699830264,424900
Raw-supervised ConvLSTM,2.9206117561378013,,330.6871010004543,8.708260899875313,591873
Raw-supervised SimVP-style,2.935480113231603,,11.948119000066072,0.9554926999844611,425665
