epoch,train_standardized_mse,val_native_cell_rmse
1,0.1003905720142431,1.3069041669560595
2,0.07778414858635081,1.2965588573920066
3,0.07596213890369548,1.3000641507599018
4,0.0747352673910385,1.2869983958402051
5,0.07305174810422022,1.2823238689345053
6,0.07313304225545983,1.282487561629798
7,0.07243901248588118,1.2838460218600078
8,0.07160378931913265,1.2750954264792447
9,0.07086051467719466,1.2717392103874194
10,0.07063171869620334,1.2800521169489942
11,0.07019559177028578,1.2695351191956032
12,0.07009163988364298,1.2694004853926473
13,0.06978577951532464,1.2692677429968848
14,0.06984953677584958,1.2750947386948106
15,0.06913207887217056,1.2682790528730057
16,0.06946540753855261,1.2715262551320414
17,0.0691658740993156,1.2756851156583477
18,0.06913516895715581,1.2712947296969452
19,0.06888755332938461,1.269538386171665
20,0.06861830922926582,1.2735645902752628
21,0.0689702870454206,1.273743930066429
22,0.06859534086529599,1.2739450210403207
23,0.06857880737719148,1.2706835472542795
24,0.06859703297012074,1.2710406793216353
25,0.06831555051165958,1.2676192956546886
26,0.06822351076055405,1.2684653564815662
27,0.06831798096035802,1.280261203416931
28,0.0679999667458063,1.2660270746899722
29,0.06820709028736104,1.2698228710081794
30,0.0680042182983354,1.2674973858637617
31,0.06768368427143541,1.2660669661871442
32,0.06774641313525133,1.2646025011810438
33,0.06762843553063481,1.2664561662037357
34,0.06762937707609909,1.2647678273643672
35,0.06751708712342173,1.268177862588153
36,0.06758003560609596,1.2689242806451546
37,0.06752692782428375,1.2717763507468556
38,0.06739690319396728,1.2669497375081868
39,0.06745092133276684,1.2722972614825585
40,0.06730768833915855,1.26670970074072
41,0.06732103232900764,1.2684433473796781
42,0.06687356834841329,1.2701163830153899
43,0.06697688702234002,1.2645430938005568
44,0.0669180117547512,1.2659423052584813
45,0.06679946413740169,1.2672748016263073
46,0.06657152129120605,1.265894762159481
47,0.0665620127476232,1.2708254027937926
48,0.06624129271611225,1.270025337550939
49,0.06630001992507037,1.2692079057511265
50,0.06616319014235984,1.268461143801908
51,0.06620135448526504,1.2693726301230701
52,0.06591335432820541,1.2683751707476576
53,0.06579542957073034,1.271663468126625
54,0.06578183836888435,1.2727989142541094
55,0.0655206295033527,1.2693715984464191
