epoch,train_loss,val_loss
1.0,0.3605441710479925,0.4296566910004845
2.0,0.35665372926910405,0.428223625154731
3.0,0.35231205851657205,0.433037049485083
4.0,0.33705344626232286,0.40224752137140285
5.0,0.3257589536508446,0.40297494492229197
6.0,0.3069218422724787,0.3806992636971814
7.0,0.290496083482707,0.38274703993375786
8.0,0.2851271148460221,0.36165950565121
9.0,0.2721196877741469,0.3709209238106815
10.0,0.2672275997806984,0.3760853521741248
11.0,0.2610606284417511,0.37080677721358224
12.0,0.2491811592791186,0.3748982839127289
13.0,0.23805965067593407,0.3576843773069302
14.0,0.23048943718366804,0.38615157859367955
15.0,0.22772706387442973,0.38481422160882023
16.0,0.2170122345039334,0.36196996277757565
17.0,0.2097861389273269,0.37542111404959877
18.0,0.204550248788722,0.3666404248011367
19.0,0.19094614729385193,0.3712408512664943
20.0,0.18318678296669594,0.37448443017950517
21.0,0.1804074665397521,0.38539628125581643
22.0,0.1674637970763779,0.3770242613664094
23.0,0.16012764778224192,0.39562481424005774
24.0,0.14910994455454707,0.3858704553207956
25.0,0.13734416703479024,0.3945657688982655
