epoch,train_loss,val_loss
1.0,46.145755767822266,20.458847045898438
2.0,46.06912612915039,20.448484420776367
3.0,45.93950653076172,20.451148986816406
4.0,45.81072998046875,20.449420928955078
5.0,45.67339324951172,20.449420928955078
6.0,45.532981872558594,20.449420928955078
7.0,45.390419006347656,20.449420928955078
8.0,45.24661636352539,20.449420928955078
9.0,45.102115631103516,20.449420928955078
10.0,44.957271575927734,20.449420928955078
11.0,44.81233596801758,20.449420928955078
12.0,44.667484283447266,20.449420928955078
