run_dir,model,reported_rmse,reported_mse,rmse_squared,recomputed_rmse,recomputed_mse,rmse_mse_abs_diff,mask_valid_count,prediction_hash,target_hash,split_hash,config_hash,metrics_hash,prediction_array_hash,status
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E10_interpretability\spatial_tile\seed_42\persistence\linear\split_seed_42,persistence,1.5689308578982168,2.4615440368652344,2.461544036865235,1.5689308578982168,2.4615440368652344,4.440892098500626e-16,8128,9a48065e98df9bb0200b16e885c5e0f98373d92e1fd0195829a8f8628f9ede66,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,aa87bd7754c73033f6fbca318704cb344d8f8307fb9362cf868f12dc9d85a42e,3debd239ac861ef65e3c8fb864a1ec0a93b783504df288d248372407be745c8b,c89d5c96d527cf4249bba1012ee1032b65775bf475d0d408c9b3ea392fedadef,a9db0ff97d701daa22a743a40c61ffdab03dd1bab93e20b72d33bd62da347c05,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E10_interpretability\spatial_tile\seed_42\lightgbm\linear\split_seed_42,lightgbm,2.0196280539238627,4.078897476196289,4.078897476196289,2.0196280539238627,4.078897476196289,0.0,8128,851f712c890afeccbc5429f3999622a71d10ec38aef5b250415482780cfdf33d,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,aa87bd7754c73033f6fbca318704cb344d8f8307fb9362cf868f12dc9d85a42e,3debd239ac861ef65e3c8fb864a1ec0a93b783504df288d248372407be745c8b,71da88de161f1c11fba8de59ebed7b8d840c9cff12cb1b2f4b29c898d8cac346,962ad3f46e15d6d291d1a1640156813a9e4cd20f4a3d95aacc66b2cd38025c6d,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E10_interpretability\spatial_tile\seed_42\cnn_tcn\linear\split_seed_42,cnn_tcn,7.514955994457507,56.47456359863281,56.47456359863282,7.514955994457507,56.47456359863281,7.105427357601002e-15,8128,bdd98f23ebdc56bf336d4071ae49db51368e0fcb68c7f123757e09bc628fec4c,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,aa87bd7754c73033f6fbca318704cb344d8f8307fb9362cf868f12dc9d85a42e,3debd239ac861ef65e3c8fb864a1ec0a93b783504df288d248372407be745c8b,f806853064efea490b9139b06e67b5ef6272aea7ac35ae1dda853e3cd1553a37,436e191688df29311e1ae97d7bce7df982f483776dadd2b2b50d92cb6f5a7eb1,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E10_interpretability\spatial_tile\seed_42\cnn_lstm_maskaware\linear\split_seed_42,cnn_lstm_maskaware,7.524633009570031,56.62010192871094,56.62010192871094,7.524633009570031,56.62010192871094,0.0,8128,12c60a19aa7a076784bea304cf7cdd1d37a7bc3ba5e1091a7cf00431abb983c8,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,aa87bd7754c73033f6fbca318704cb344d8f8307fb9362cf868f12dc9d85a42e,3debd239ac861ef65e3c8fb864a1ec0a93b783504df288d248372407be745c8b,6c4f31e69de0cf3be505e402d88d745dc82f7c5fc8fbd4de122644abdbc3d968,ab667025d07708e6ca08c02add6cf8167b5efdd64078b02e966381942a3f678b,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\random_forest\linear\split_seed_42,random_forest,1.45112997946968,2.105778217315674,2.105778217315674,1.45112997946968,2.105778217315674,0.0,8128,d45594fe8e25b24a72f0cd233c0dda2ffd01c9cd0abae5561ee192eb4d954ec0,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,aa87bd7754c73033f6fbca318704cb344d8f8307fb9362cf868f12dc9d85a42e,86802cff653fafc25d0d85b848c6686e02f0f63ad37cc3e36584163062b4b854,681c70bb698fd429d6587acebbca969ec028238a6e4538bd8f0fb92538b60d2e,63e5bf42b7ced8a6f0430a3ae5a053e2e84dfe27eca37041efb11bdb0fb9c4c6,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\random_forest\linear\split_seed_43,random_forest,1.7384476828461195,3.022200345993042,3.022200345993042,1.7384476828461195,3.022200345993042,0.0,7801,f07afcd9399b203ca351ae72b375173c6b162d059a22cc4999bbaee75b101b46,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,b323933f7c125c832058aa2565acec87c0366ed7ad0b10fe8efeb214892db378,464700166aec473ceb72c9b3ad553b2a9ae7260ae7ec8c7f3d03e6c7208d8b2f,acc6828cfae9b5091d997b90f0d86252b39f2a6fa98491d87ef1b67bface8c03,1a91a5521a1f787ea1b39736fa212d4fb5a450c383928f1d0b480d14232b003b,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\random_forest\linear\split_seed_44,random_forest,1.5939149958154915,2.540565013885498,2.540565013885498,1.5939149958154915,2.540565013885498,0.0,8155,1c6f97bec361b73919995f3d25fb9f6e7b630bc50c3687a16d95f81d0eee8524,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,dc4e472d4ff09f561e1361da6f2d4a7c3bb5470862a13b149e680a480bc8139b,a866295c1d00632fcef681b259935ca0b51841745da78c111649e8dd490427f9,973add5eaefe5260ca03fb99c6e50a06d20f0ed6c92bcbbc3c86d5d915984031,899a40cb1cb7de15f5c6d8bd7240e5e6163e17459755a85d47fb87316fd9e454,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\random_forest\linear\split_seed_45,random_forest,1.4390128095002357,2.0707578659057617,2.0707578659057617,1.4390128095002357,2.0707578659057617,0.0,8483,f05ed7f38e6373799e3d8db1f8bd1efeb748195db17bdfaa3ac887d5a0762032,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,9f4427996aac0677942e3dcb92a43587024aa3e8af163de64f4941b1377e52b0,f7d28aeb534ecb111cb941485981fbb1e10b4547815ed003463f31fa80b62290,73b056d8793a910d8cb8481d6e1eeb91d65ea0cf86101ca8b851d24676750ec6,70dd02d23d94f66668531568b4d39da8f25bcf0429553a1e886311f8dcd47683,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\random_forest\linear\split_seed_46,random_forest,1.392020521843021,1.9377211332321167,1.9377211332321167,1.392020521843021,1.9377211332321167,0.0,7806,0369aeec419b92d7d0e0f07e27794da8e25c9832f097a78f5cc81e0e79755967,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,b147155d168780531b89106b8cff37420d8650cce600f3ae472a5a857fa46329,60a22fc3daa7e54b52f3cabd36a457e9adf96a3adc7a7fdb7c23525ff09a0bcb,eeff43086a70bc562452643fc87c14e6bf8652a3b07325bd14374133f71db94d,64c595eb3a8744893c82953b7fc8aa85bfdd7c2cb136c3e0e6596e503424b9b4,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\persistence\linear\split_seed_42,persistence,1.5689308578982168,2.4615440368652344,2.461544036865235,1.5689308578982168,2.4615440368652344,4.440892098500626e-16,8128,9a48065e98df9bb0200b16e885c5e0f98373d92e1fd0195829a8f8628f9ede66,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,aa87bd7754c73033f6fbca318704cb344d8f8307fb9362cf868f12dc9d85a42e,86802cff653fafc25d0d85b848c6686e02f0f63ad37cc3e36584163062b4b854,c845bb63853493d490d95e89d5125d17bd73aad4fe592a7acc413178a478f2bc,a9db0ff97d701daa22a743a40c61ffdab03dd1bab93e20b72d33bd62da347c05,pass
