seed,split_strategy,model,rmse,mae,mse,r2,leakage_free_rmse,inflation_optimism_pct
42,random_pixel,persistence,1.5754435202384838,1.0909732580184937,2.482022285461426,0.9285521491290194,,
42,random_pixel,lightgbm,1.5499167543022185,0.9935653805732727,2.4022419452667236,0.930848717631581,,
42,random_pixel,cnn_tcn,6.848089923606921,4.475520610809326,46.89633560180664,-0.349964679508346,,
42,random_pixel,cnn_lstm_maskaware,6.859467594851254,4.484200477600098,47.05229568481445,-0.3544542091767733,,
42,spatial_tile,persistence,1.5689308578982168,1.0738111734390259,2.4615440368652344,0.9454840238524412,,
42,spatial_tile,lightgbm,1.980738333688314,1.0652323961257935,3.9233243465423584,0.9131098764232646,,
42,spatial_tile,cnn_tcn,7.514955994457507,4.771448612213135,56.47456359863281,-0.25074584646730136,,
42,spatial_tile,cnn_lstm_maskaware,7.524633009570031,4.7800397872924805,56.62010192871094,-0.2539690987061607,,
42,comparison,persistence,1.5754435202384838,nan,nan,nan,1.5689308578982168,-0.4151019343829766
42,comparison,lightgbm,1.5499167543022185,nan,nan,nan,1.980738333688314,21.75055493493008
42,comparison,cnn_tcn,6.848089923606921,nan,nan,nan,7.514955994457507,8.873851973882736
42,comparison,cnn_lstm_maskaware,6.859467594851254,nan,nan,nan,7.524633009570031,8.839838619010408
43,random_pixel,persistence,1.5898978109330155,1.0940972566604614,2.5277750492095947,0.9215855906131606,,
43,random_pixel,lightgbm,1.4560830147416362,0.9795662760734558,2.120177745819092,0.9342297155050923,,
43,random_pixel,cnn_tcn,6.613492652501949,4.41658353805542,43.738285064697266,-0.3568104707401478,,
43,random_pixel,cnn_lstm_maskaware,6.617893366000978,4.420581340789795,43.796512603759766,-0.3586168509694583,,
43,spatial_tile,persistence,1.7081644936220628,1.191810131072998,2.917825937271118,0.9454136445738573,,
43,spatial_tile,lightgbm,2.593001751806077,1.1679130792617798,6.723658084869385,0.8742145718744112,,
43,spatial_tile,cnn_tcn,8.10455237666302,4.910116672515869,65.68376922607422,-0.228804382120132,,
43,spatial_tile,cnn_lstm_maskaware,8.105707357180735,4.915291786193848,65.7024917602539,-0.22915473529861852,,
43,comparison,persistence,1.5898978109330155,nan,nan,nan,1.7081644936220628,6.923612048525239
43,comparison,lightgbm,1.4560830147416362,nan,nan,nan,2.593001751806077,43.84566019951797
43,comparison,cnn_tcn,6.613492652501949,nan,nan,nan,8.10455237666302,18.39780477518491
43,comparison,cnn_lstm_maskaware,6.617893366000978,nan,nan,nan,8.105707357180735,18.3551407128179
44,random_pixel,persistence,1.573082828797624,1.092751145362854,2.4745895862579346,0.9215072707922496,,
44,random_pixel,lightgbm,1.4684330212674355,0.9762372970581055,2.1562955379486084,0.9316033973175089,,
44,random_pixel,cnn_tcn,6.623183091252566,4.4210710525512695,43.866554260253906,-0.3914248907617286,,
44,random_pixel,cnn_lstm_maskaware,6.622871776843469,4.417313098907471,43.862430572509766,-0.391294045378737,,
44,spatial_tile,persistence,1.465097878346903,1.0440624952316284,2.1465117931365967,0.9509176419400929,,
44,spatial_tile,lightgbm,2.470611160436421,1.0520553588867188,6.103919506072998,0.8604271416336752,,
44,spatial_tile,cnn_tcn,7.636038872389567,4.557269096374512,58.30908966064453,-0.3333016722152484,,
44,spatial_tile,cnn_lstm_maskaware,7.63848984417793,4.560973167419434,58.346527099609375,-0.33415774912582896,,
44,comparison,persistence,1.573082828797624,nan,nan,nan,1.465097878346903,-7.370493947650943
44,comparison,lightgbm,1.4684330212674355,nan,nan,nan,2.470611160436421,40.56397684983969
44,comparison,cnn_tcn,6.623183091252566,nan,nan,nan,7.636038872389567,13.264151716137672
44,comparison,cnn_lstm_maskaware,6.622871776843469,nan,nan,nan,7.63848984417793,13.296058357773
45,random_pixel,persistence,1.5788103636062016,1.0808861255645752,2.4926421642303467,0.9309269416669079,,
45,random_pixel,lightgbm,1.6528758100969096,0.9919339418411255,2.7319984436035156,0.9242941965213723,,
45,random_pixel,cnn_tcn,6.946800801940123,4.4118876457214355,48.25804138183594,-0.33726788656904505,,
45,random_pixel,cnn_lstm_maskaware,6.946100625804998,4.412784576416016,48.248313903808594,-0.33699842819550185,,
