model,split_strategy,rmse_mean,rmse_std,inflation_optimism_pct_mean,inflation_optimism_pct_std,mae_mean,mae_std,mse_mean,mse_std,r2_mean,r2_std
cnn_lstm_maskaware,comparison,6.755530786085133,0.14512781511440684,7.418987006476494,8.978602483624998,,,,,,
cnn_lstm_maskaware,random_pixel,6.755530786085133,0.14512781511440684,,,4.422661304473877,0.038321731090293416,45.65404586791992,1.9661858290996992,-0.3551490388256353,0.022801856726096543
cnn_lstm_maskaware,spatial_tile,7.343510776044932,0.6093235664718744,,,4.681411552429199,0.21547333617140838,54.22417068481445,8.938920137044482,-0.3285202966121871,0.11893566224342092
cnn_tcn,comparison,6.75126296500787,0.14465358892677482,7.38698394113406,9.04062304271545,,,,,,
cnn_tcn,random_pixel,6.75126296500787,0.14465358892677482,,,4.4193799018859865,0.037009972889552004,45.59629135131836,1.9595356670516537,-0.35344903797634486,0.023436621453728722
cnn_tcn,spatial_tile,7.336969676178635,0.6127881929074052,,,4.673414516448974,0.21706178097971152,54.1315315246582,8.98340408974419,-0.32599033898692475,0.11766048226441303
lightgbm,comparison,1.5614417574730193,0.10280625087221079,19.59847750585657,24.060053529524374,,,,,,
lightgbm,random_pixel,1.5614417574730193,0.10280625087221079,,,0.9835495710372925,0.008520939018855518,2.446555662155151,0.32218851702274504,0.9275734658013933,0.007002419448185625
lightgbm,spatial_tile,2.0545400717970845,0.4750846638718776,,,1.0755676984786988,0.05224132665335007,4.401699256896973,1.9550338791470048,0.8970891042063007,0.028757640603803487
persistence,comparison,1.5764853659811073,0.009020742647639269,-1.3974618604917641,5.500210594602214,,,,,,
persistence,random_pixel,1.5764853659811073,0.009020742647639269,,,1.0890164852142334,0.00540076328945696,2.485371208190918,0.028468425791491603,0.9260851011922453,0.004297071555456358
persistence,spatial_tile,1.5588848583153252,0.09535929154218042,,,1.0937984228134154,0.05860958918887822,2.4373967170715334,0.3029872851075443,0.9392079150065709,0.01250193161966293
