seed,model,split_strategy,rmse,mae,mse,r2,runtime_seconds,peak_gpu_memory_mb,device,metrics_path
45,persistence,spatial_tile,1.5651321366318558,1.1003998517990112,2.449638605117798,0.9194453555214142,0.00010530001600272954,0.0,analytical,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\persistence\linear\split_seed_45\metrics.json
45,linear_trend,spatial_tile,1.9634798750189655,1.434983491897583,3.855253219604492,0.8732227109228993,0.059540400019614026,0.0,analytical,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\linear_trend\linear\split_seed_45\metrics.json
45,lasso,spatial_tile,1.4257530732179415,1.0286909341812134,2.0327718257904053,0.9331537275061154,9.056845399987651,265.73486328125,cuda,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\lasso\linear\split_seed_45\metrics.json
45,random_forest,spatial_tile,1.4390128095002357,1.0193549394607544,2.0707578659057617,0.9319045879817187,173.0290476999944,0.0,cpu,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\random_forest\linear\split_seed_45\metrics.json
45,lightgbm,spatial_tile,1.4630320828219083,1.0442707538604736,2.140462875366211,0.9296123839436843,5.4176090999972075,17.25,gpu,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\lightgbm\linear\split_seed_45\metrics.json
45,cnn_tcn,spatial_tile,6.807307513062163,4.770812034606934,46.33943557739258,-0.523839739693448,3.654163100000005,8572.96728515625,cuda,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\cnn_tcn\linear\split_seed_45\metrics.json
45,cnn_lstm_maskaware,spatial_tile,6.818299231240756,4.780675411224365,46.48920440673828,-0.528764703798025,7.169428399996832,8765.04443359375,cuda,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\cnn_lstm_maskaware\linear\split_seed_45\metrics.json
46,persistence,spatial_tile,1.4870989250775883,1.058908462524414,2.211463212966919,0.9347789091450484,4.680000711232424e-05,0.0,analytical,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\persistence\linear\split_seed_46\metrics.json
46,linear_trend,spatial_tile,1.930909545913405,1.381773829460144,3.7284116744995117,0.8900406367159708,0.06535140000050887,0.0,analytical,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\linear_trend\linear\split_seed_46\metrics.json
46,lasso,spatial_tile,1.3468093643658265,0.9724681973457336,1.8138954639434814,0.9465040892036617,6.548409799986985,266.51220703125,cuda,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\lasso\linear\split_seed_46\metrics.json
46,random_forest,spatial_tile,1.392020521843021,0.9666263461112976,1.9377211332321167,0.9428521848717469,91.15086099997279,0.0,cpu,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\random_forest\linear\split_seed_46\metrics.json
46,lightgbm,spatial_tile,1.7664507395065252,1.0492970943450928,3.1203482151031494,0.9079738202179004,5.039243600011105,17.25,gpu,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\lightgbm\linear\split_seed_46\metrics.json
46,cnn_tcn,spatial_tile,6.621993624320917,4.357426166534424,43.850799560546875,-0.293260054438494,3.006782700016629,8572.96728515625,cuda,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\cnn_tcn\linear\split_seed_46\metrics.json
46,cnn_lstm_maskaware,spatial_tile,6.630424438055211,4.370077610015869,43.962528228759766,-0.2965551961323025,4.394217799999751,8765.04443359375,cuda,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E2_primary_multiseed\spatial_tile\grid_256\cnn_lstm_maskaware\linear\split_seed_46\metrics.json
