model,split_strategy,rmse_mean,rmse_std,mae_mean,mae_std,mse_mean,mse_std,r2_mean,r2_std,runtime_seconds_mean,runtime_seconds_std,peak_gpu_memory_mb_mean,peak_gpu_memory_mb_std
cnn_lstm_maskaware,spatial_tile,7.343510776044932,0.6093235664718744,4.681411552429199,0.21547333617140838,54.22417068481445,8.938920137044482,-0.3285202966121871,0.11893566224342092,11.651036019995809,5.817098222912257,8765.04443359375,0.0
cnn_tcn,spatial_tile,7.336969676178635,0.6127881929074052,4.673414516448974,0.21706178097971152,54.1315315246582,8.98340408974419,-0.32599033898692475,0.11766048226441303,3.750580699997954,0.6549853316671878,8572.96728515625,0.0
lasso,spatial_tile,1.3835837378586788,0.060326562420309725,0.9888060688972473,0.04257378190732406,1.917215394973755,0.16624265186204676,0.9517175767331271,0.01192980185538787,6.971427120000589,1.2391286399802073,266.00400390625,0.5804748616981414
lightgbm,spatial_tile,2.0628688093319667,0.4739309331014253,1.0753181219100951,0.05239079462168607,4.435116147994995,1.948077456043809,0.8963488921551335,0.028297345166620195,5.8538911000068765,1.8930826808104675,17.05,0.4472135954999579
linear_trend,spatial_tile,2.002509337554572,0.07333468126520404,1.4269566535949707,0.05226520882675378,4.014346027374268,0.2971113343010617,0.8998576212718721,0.017897435654491492,0.060913880006410126,0.004661710806897972,0.0,0.0
persistence,spatial_tile,1.5588848583153252,0.09535929154218042,1.0937984228134154,0.05860958918887822,2.4373967170715334,0.3029872851075443,0.9392079150065709,0.01250193161966293,7.120001246220772e-05,3.66395358614249e-05,0.0,0.0
random_forest,spatial_tile,1.5229051978949095,0.14214549540473004,1.0025344610214233,0.04521584744043961,2.3354045152664185,0.4457290380297567,0.9426976319379191,0.0076071582314312805,110.70194297999842,36.236257918172385,0.0,0.0
