epoch,train_weighted_smooth_l1,val_weighted_smooth_l1
1,0.3094318828039002,0.2826817035675049
2,0.30696015086090356,0.280865341424942
3,0.3008000772250326,0.27404671907424927
4,0.28693752278361406,0.26467373967170715
5,0.2728804914574874,0.25702518224716187
6,0.2633338264728847,0.2619257867336273
7,0.24867731777199528,0.24838367104530334
8,0.24994217800466637,0.25135648250579834
9,0.232428405891385,0.24937938153743744
10,0.22607175247711048,0.25796598196029663
11,0.2162746598846034,0.236583411693573
12,0.21192518530184762,0.2514464855194092
13,0.20286112788476443,0.22941431403160095
14,0.19329877825159775,0.22201190888881683
15,0.19635580009535739,0.23749631643295288
16,0.1832440048456192,0.23122115433216095
17,0.17645771696902157,0.22553247213363647
18,0.16967454683362393,0.23080651462078094
19,0.16106227144860386,0.21164990961551666
20,0.16305346603979143,0.20198597013950348
21,0.15721797943115234,0.20614519715309143
22,0.15261740956390113,0.19958575069904327
23,0.14785601094103695,0.2050025910139084
24,0.1543081712565924,0.19385865330696106
25,0.13839862822440632,0.1896049678325653
26,0.13844753135191767,0.19329160451889038
27,0.132375574687071,0.22567151486873627
28,0.139552006857437,0.18788817524909973
29,0.13475664508970162,0.20383812487125397
30,0.13679864911133782,0.18271638453006744
31,0.12059487820717327,0.18637783825397491
32,0.13237241825513674,0.19656608998775482
33,0.12903061901268206,0.189466193318367
34,0.11480966497931563,0.19748283922672272
35,0.1217847554045811,0.17469409108161926
36,0.1228173794715028,0.17370732128620148
37,0.11257236124130718,0.17285749316215515
38,0.1196547083948788,0.1715920865535736
39,0.10797922300142154,0.19418662786483765
40,0.11080675166949891,0.17847663164138794
41,0.11267539963387606,0.17911586165428162
42,0.11565108793346505,0.16299058496952057
43,0.11228253561676595,0.1952015459537506
44,0.10753397460569415,0.1611693799495697
45,0.10061824504743543,0.16945968568325043
46,0.10902307587757445,0.18801258504390717
47,0.1016033997661189,0.16179241240024567
48,0.10019879879658683,0.17625829577445984
49,0.09742664624201625,0.16015388071537018
50,0.09213142476060934,0.16907250881195068
51,0.09414191883906983,0.1588723361492157
52,0.09707254707290415,0.16030839085578918
53,0.09010311634394161,0.15930642187595367
54,0.09141823021989119,0.1595713049173355
55,0.08981730462166301,0.15470777451992035
56,0.08948963671399836,0.16502448916435242
57,0.09094660206322085,0.15224160254001617
58,0.08822482968108696,0.20797160267829895
59,0.08933824928183305,0.15001685917377472
60,0.09572343123063706,0.15303511917591095
