epoch,train_raw_point_loss,val_raw_point_loss,gradient_l2_mean,epoch_seconds
1,0.3597547404277019,0.3518507169051604,0.022218294171556734,16.475846499670297
2,0.3556889826670671,0.35120006853883917,0.03557661166175818,15.671108999755234
3,0.3545714146815814,0.34992233325134625,0.03688977640241575,15.884849699679762
4,0.35309785795517457,0.34778664193370123,0.043646606927116714,15.886940400116146
5,0.3544331624721869,0.3480160304091193,0.05234384092573936,15.602340300101787
6,0.35098400253515977,0.34665557877583936,0.05940248463780452,15.881315000355244
7,0.3498974354603352,0.3459381257945841,0.07350426730819237,15.642064599785954
8,0.3528863585148102,0.3461241965944117,0.08289571261654298,15.670856200158596
9,0.35022201331762165,0.34573816575787286,0.0775826605848777,15.831500200089067
10,0.35170451800028485,0.34689827398820355,0.12481273519687164,15.671826200094074
11,0.34379438291757536,0.348841591314836,0.09313709174211209,15.584120700135827
12,0.34219044867234355,0.35016145489432593,0.10079363762186123,15.979399499949068
13,0.3422179665320959,0.34751891141588037,0.12226746508326286,15.565486900042742
14,0.3383889905153177,0.34807756678624585,0.17257298118410966,15.78118469985202
15,0.3367437250339068,0.3528968800197948,0.13628598761100036,15.726406599860638
16,0.3336595514645943,0.34890318187800323,0.1562165562541057,15.483114200178534
17,0.32825833367995727,0.3510404269803654,0.16226188074319792,15.746325599960983
18,0.3294341717010889,0.34962492232972925,0.1491954599817594,15.674916199874133
19,0.3295833055789654,0.35374305600469763,0.1581097703713637,15.681573700159788
20,0.3262740744230075,0.35200410268523474,0.16422605094237205,15.68391799973324
21,0.3214945953625899,0.3532727631655606,0.16860929609109193,15.540728500112891
