seed,variant,rmse,mae,mse,r2,full_grid_rmse,runtime_seconds,device
42,cnn_lstm_maskaware,7.524633009570031,4.7800397872924805,56.62010192871094,-0.2539690987061607,6.1076083153306495,3.315161000005901,cuda
42,cnn_lstm_noinputmask,7.523790392813984,4.77864408493042,56.607421875,-0.25368827538805006,6.106319980747438,4.282221500005107,cuda
42,cnn_lstm_nolossmask,5.69072254815829,3.057509183883667,32.38432312011719,-0.09789717988437707,5.69072254815829,15.459493900008965,cuda
42,cnn_lstm_metriconlymask,7.071937669315365,4.088846206665039,50.01230239868164,-0.10762574953983028,5.69072254815829,14.771008600015193,cuda
43,cnn_lstm_maskaware,8.105707357180735,4.915291786193848,65.7024917602539,-0.22915473529861852,6.096972430226448,4.030826600006549,cuda
43,cnn_lstm_noinputmask,8.11513260503275,4.922197341918945,65.85537719726562,-0.23201489124662622,6.105787702101569,3.4556267999869306,cuda
43,cnn_lstm_nolossmask,5.747065583180935,3.1320013999938965,33.02876281738281,-0.11974505126366042,5.747065583180935,14.815659299987601,cuda
43,cnn_lstm_metriconlymask,7.737222289985498,4.324434280395508,59.86460876464844,-0.11994024436141215,5.747065583180935,14.77318380001816,cuda
44,cnn_lstm_maskaware,7.63848984417793,4.560973167419434,58.346527099609375,-0.33415774912582896,6.102143595788537,3.7520482999971136,cuda
44,cnn_lstm_noinputmask,7.6343186765600395,4.5613579750061035,58.28282165527344,-0.33270101640951344,6.105472498799233,3.1872472000250127,cuda
44,cnn_lstm_nolossmask,5.8203187264018705,3.2288320064544678,33.8761100769043,-0.14847191898792333,5.8203187264018705,14.657141200004844,cuda
44,cnn_lstm_metriconlymask,7.352045057555096,4.091385364532471,54.05256652832031,-0.23597159822461733,5.8203187264018705,14.920732300000964,cuda
45,cnn_lstm_maskaware,6.818299231240756,4.780675411224365,46.48920440673828,-0.528764703798025,6.101557498397438,5.753541799989762,cuda
45,cnn_lstm_noinputmask,6.80788888527264,4.773041248321533,46.34735107421875,-0.524100070473444,6.105125412711162,4.720739200012758,cuda
45,cnn_lstm_nolossmask,5.673340327030329,3.0417404174804688,32.186790466308594,-0.09120040432581034,5.673340327030329,21.328905300004408,cuda
45,cnn_lstm_metriconlymask,6.292351624380487,4.061667442321777,39.59368896484375,-0.3020105374001387,5.673340327030329,21.252770499995677,cuda
46,cnn_lstm_maskaware,6.630424438055211,4.370077610015869,43.962528228759766,-0.2965551961323025,6.093864557216481,5.729918199998792,cuda
46,cnn_lstm_noinputmask,6.622690338014636,4.362746715545654,43.86002731323242,-0.2935321996821154,6.097897727041109,4.122458900004858,cuda
46,cnn_lstm_nolossmask,5.673425719916853,3.036771774291992,32.18775939941406,-0.09123325321136644,5.673425719916853,21.20871960002114,cuda
46,cnn_lstm_metriconlymask,6.147930584845133,3.65830659866333,37.79705047607422,-0.1147212040225074,5.673425719916853,21.43333599998732,cuda
