epoch,train_weighted_smooth_l1,val_weighted_smooth_l1
1,0.2737757307900624,0.2516467571258545
2,0.26923846470361407,0.24335883557796478
3,0.25763014653189614,0.23252253234386444
4,0.2447669135237282,0.22197894752025604
5,0.23868774656545033,0.2237410843372345
6,0.22771014222367245,0.22179286181926727
7,0.21769713204015384,0.2324388325214386
8,0.2092963538386605,0.20945078134536743
9,0.19962621700357308,0.2003835290670395
10,0.18724957210096446,0.19826799631118774
11,0.18256858973340553,0.1893327385187149
12,0.19303891045803373,0.18804892897605896
13,0.16942679475654254,0.18608598411083221
14,0.16896900416097857,0.1767910271883011
15,0.153378199193288,0.25706568360328674
16,0.15328954702073877,0.18781200051307678
17,0.14543371376666156,0.18291033804416656
18,0.14761911222541874,0.16892151534557343
19,0.1456048017875715,0.1681075394153595
20,0.13760235541584817,0.1664576530456543
21,0.12917915435338562,0.14774058759212494
22,0.14137643592601473,0.1721234768629074
23,0.12890320889313112,0.1503296196460724
24,0.12650953292508016,0.15220028162002563
25,0.11682267783379013,0.14587751030921936
26,0.11155233176594431,0.1564176231622696
27,0.1132622907276858,0.15204130113124847
28,0.11497187622907487,0.1716364622116089
29,0.10646125843579118,0.14594906568527222
30,0.10314052941446955,0.151127889752388
31,0.11100768602707169,0.15277321636676788
32,0.11487639297477224,0.1641678810119629
33,0.10820606206967072,0.1335991770029068
34,0.10084702590988441,0.1621657758951187
35,0.0987439573827115,0.12313887476921082
36,0.12294140525839546,0.11938479542732239
37,0.09258076057515362,0.12123500555753708
38,0.09705943715843288,0.11940257996320724
39,0.10571946288374337,0.11823113262653351
40,0.10388806919482621,0.1165655255317688
41,0.09321250004524534,0.12011849880218506
42,0.09567495541308414,0.11861774325370789
43,0.09542157517915423,0.11791659891605377
44,0.08764220283112743,0.11244314163923264
45,0.08259375287558544,0.11217620223760605
46,0.08035271572457119,0.11955969035625458
47,0.08880147799341516,0.1122044175863266
48,0.10983971252360127,0.11722999066114426
49,0.09388052676381035,0.11886567622423172
50,0.08536093834448945,0.10856296867132187
51,0.08336319105530327,0.11019176244735718
52,0.09286186623979699,0.11412268131971359
53,0.07944561138918455,0.12857405841350555
54,0.07956698210909963,0.11071813851594925
55,0.07745397772470658,0.1061779335141182
56,0.08394278183748777,0.112220399081707
57,0.08719240869818763,0.12206247448921204
58,0.08120836787433787,0.11137033998966217
59,0.07822773220356215,0.13188639283180237
60,0.08121569640934467,0.12100786715745926
