method,target_delta_mae_vs_linear,target_delta_rmse_vs_linear,target_corr_vs_linear
nearest,2.649564743041992,4.313544750213623,0.7776999506334233
idw,2.021066188812256,3.07800555229187,0.8397916516933377
rbf,2.014570713043213,3.373079299926758,0.8214125602103831
