seed,method,model,rmse,mae,mse,r2,runtime_seconds
42,linear,persistence,1.5689308578982168,1.0738111734390259,2.4615440368652344,0.9454840238524412,2.3200002033263445e-05
42,linear,lasso,1.3897747483689284,0.9727484583854675,1.9314738512039185,0.9572235220778814,7.06265040001017
42,linear,lightgbm,1.9809359087909808,1.065294861793518,3.924107074737549,0.913092543161684,7.507725500006927
42,linear,cnn_lstm_maskaware,7.524633009570031,4.7800397872924805,56.62010192871094,-0.2539690987061607,6.788503799994942
43,linear,persistence,1.7081644936220628,1.191810131072998,2.917825937271118,0.9454136445738573,4.230000195093453e-05
43,linear,lasso,1.4530274553271347,1.0355910062789917,2.1112887859344482,0.9605022505788884,6.300914000021294
43,linear,lightgbm,2.593005429681109,1.1679171323776245,6.723677158355713,0.8742142159005936,4.353297199995723
43,linear,cnn_lstm_maskaware,8.105707357180735,4.915291786193848,65.7024917602539,-0.22915473529861852,5.536163299984764
44,linear,persistence,1.465097878346903,1.0440624952316284,2.1465117931365967,0.9509176419400929,3.610001294873655e-05
44,linear,lasso,1.3025540480135636,0.9345317482948303,1.696647047996521,0.9612042942990886,6.300640600005863
44,linear,lightgbm,2.455402264861625,1.051862359046936,6.029000282287598,0.862140259308062,4.523960699996678
44,linear,cnn_lstm_maskaware,7.63848984417793,4.560973167419434,58.346527099609375,-0.33415774912582896,4.9225023000035435
45,linear,persistence,1.5651321366318558,1.1003998517990112,2.449638605117798,0.9194453555214142,3.580001066438854e-05
45,linear,lasso,1.4257530732179415,1.0286909341812134,2.0327718257904053,0.9331537275061154,6.296491099987179
45,linear,lightgbm,1.4660205234168264,1.0452735424041748,2.1492161750793457,0.9293245391439551,4.258255499997176
45,linear,cnn_lstm_maskaware,6.818299231240756,4.780675411224365,46.48920440673828,-0.528764703798025,5.1554096000036225
46,linear,persistence,1.4870989250775883,1.058908462524414,2.211463212966919,0.9347789091450484,3.7200021324679255e-05
46,linear,lasso,1.3468093643658265,0.9724681973457336,1.8138954639434814,0.9465040892036617,6.672380400006659
46,linear,lightgbm,1.7665533815206274,1.0480835437774658,3.120710849761963,0.9079631203642331,3.7678398999851197
46,linear,cnn_lstm_maskaware,6.630424438055211,4.370077610015869,43.962528228759766,-0.2965551961323025,5.48629840000649
42,nearest,persistence,1.9695253207924375,1.3156466484069824,3.8790299892425537,0.8553790916122155,4.090002039447427e-05
42,nearest,lasso,1.7148812187811138,1.1225321292877197,2.9408175945281982,0.8903582342222255,6.395474399992963
42,nearest,lightgbm,1.7519489062884686,1.1364353895187378,3.0693249702453613,0.8855671248040176,4.450008699990576
42,nearest,cnn_lstm_maskaware,6.049022362275299,4.062788009643555,36.59067153930664,-0.36420086304348875,7.868160899990471
43,nearest,persistence,2.1137569547839945,1.4393880367279053,4.467968463897705,0.9401129668494105,4.300000728107989e-05
43,nearest,lasso,1.884973196350084,1.3084365129470825,3.553123950958252,0.9523752119315798,6.90075660002185
43,nearest,lightgbm,2.69785602359048,1.3913718461990356,7.2784271240234375,0.9024425944024975,4.079575100011425
43,nearest,cnn_lstm_maskaware,9.44521153145992,5.655653953552246,89.21202087402344,-0.19576569520830112,4.984515499992995
44,nearest,persistence,2.062381278580303,1.3425238132476807,4.253416538238525,0.9339779327938794,4.549999721348286e-05
44,nearest,lasso,1.9038091572958578,1.3051046133041382,3.6244893074035645,0.9437402234063494,6.196917199995369
44,nearest,lightgbm,2.2657424370156365,1.2671788930892944,5.133588790893555,0.9203157945015279,4.2568820000160486
44,nearest,cnn_lstm_maskaware,8.624739933239473,5.317354202270508,74.38613891601562,-0.15463102635548598,4.853614399995422
45,nearest,persistence,1.6067592511205284,1.1065971851348877,2.5816752910614014,0.8881777671639476,4.360001184977591e-05
45,nearest,lasso,1.5479924183001892,1.0130128860473633,2.396280527114868,0.8962079215547871,7.25962269998854
