epoch,train_loss,val_loss,epoch_seconds
1,0.32365581812681976,0.333950772004969,1.2729068999178708
2,0.3292957011748243,0.3269852259579827,1.1387153002433479
3,0.31933599870513985,0.31334929737974615,1.1300017000176013
4,0.3163442885434186,0.3135946322889889,1.1009713001549244
5,0.31555708977911207,0.3214830348596853,1.1232541999779642
6,0.31788860736069857,0.32378333894645467,1.2275911998003721
7,0.31877083193372796,0.3163592254414278,1.0869332998991013
8,0.314705682904632,0.3137168748413815,1.1573761003091931
9,0.31392440773822644,0.31306779253132205,1.0941031998954713
10,0.31254379594767534,0.31379809800316305,1.1659518000669777
11,0.3125098008800436,0.3135034358676742,1.191565299872309
12,0.3117913286995005,0.31371821287800283,1.257066700141877
13,0.30991789764828154,0.30516020953655243,1.187229699920863
14,0.3087616936200195,0.3065808792324627,1.2408473999239504
15,0.31425480941931405,0.29901579329196143,1.2331007001921535
16,0.3033623929376955,0.29110433051691337,1.1691310000605881
17,0.2987870451476839,0.30287495430778055,1.1116486000828445
18,0.3008672970312613,0.29259704009575005,1.0900781997479498
19,0.29080851122185036,0.2746945382917629,1.221640800125897
20,0.28809531805691896,0.2726684705737759,1.1492828000336885
21,0.2829781469371584,0.2734640836715698,1.2326286998577416
22,0.28082558623066656,0.27371101344332976,1.1830384996719658
23,0.27734494294833256,0.27076656897278395,1.1893229000270367
24,0.2757173357186494,0.2674501367351588,1.1872910000383854
25,0.2782965996199184,0.2577306632609928,1.160794799681753
26,0.2794264749244407,0.2624773501473315,1.2139225001446903
27,0.28596103776384285,0.25781675252844305,1.1839713999070227
28,0.2809728651135056,0.25263846052043576,1.1756367003545165
29,0.27706815313409877,0.2506905881797566,1.1955487998202443
30,0.2737007707633354,0.2525276979979347,1.1359826000407338
31,0.27491236251813395,0.2531607348252745,1.2606044998392463
32,0.26962174749760714,0.2508437677341349,1.1725297002121806
33,0.27871017191145153,0.25052788590683656,1.1270893001928926
34,0.26868058663827404,0.24969594312064788,1.170629400294274
35,0.2710423998258732,0.24769438101964839,1.142902699764818
36,0.2667584324324572,0.23967628443942351,1.2971859001554549
37,0.2640672335194217,0.23743372673497481,1.5093918000347912
38,0.2651485683741393,0.233728706398431,1.4095029002055526
39,0.2614392238634604,0.23166114048046224,1.1329163000918925
40,0.2593339934393212,0.2303232441053671,1.1557432999834418
