tile,baseline,n,baseline_mean_rmse,baseline_std_rmse,spar_mean_rmse,spar_std_rmse,mean_paired_reduction_mm,paired_reduction_ci95_low_mm,paired_reduction_ci95_high_mm,mean_test_train_ratio,corrected_resampled_ci95_low_mm,corrected_resampled_ci95_high_mm,ratio_of_means_reduction_percent,mean_seedwise_reduction_percent,spar_wins,ties,paired_t_two_sided_p,corrected_resampled_t_two_sided_p,wilcoxon_one_sided_p
E29N33,lasso,5,1.5416054725646973,0.1079557995001093,1.2155510902404785,0.10836794298409204,0.32605438232421874,0.29404273644524825,0.3580660282031892,0.21228114429837733,0.2800933534105011,0.37201541123793636,21.150312977403832,21.225596758144583,5,0,9.303685713988955e-06,3.9189281272067344e-05,0.03125
E36N31,lasso,5,1.406688642501831,0.14605949526221768,0.6623055219650269,0.07076406727032108,0.7443831205368042,0.6505963958257819,0.8381698452478266,0.21591437347698647,0.6091359038939353,0.8796303371796731,52.917404608663084,52.926850753817895,5,0,2.5097792816038376e-05,0.00010696065124640649,0.03125
E37N41,lasso,5,1.729119849205017,0.1247418075178089,1.7035468578338624,0.11882599565728458,0.025572991371154784,0.012171664010326417,0.03897431873198315,0.21716796725649065,0.0062182088918299044,0.04492777385047966,1.478960025987333,1.4639194452437145,5,0,0.0060948632331223425,0.021420380175933132,0.03125
