baseline,n,baseline_mean_rmse,baseline_std_rmse,spar_mean_rmse,spar_std_rmse,mean_paired_reduction_mm,paired_reduction_ci95_low_mm,paired_reduction_ci95_high_mm,mean_test_train_ratio,corrected_resampled_ci95_low_mm,corrected_resampled_ci95_high_mm,ratio_of_means_reduction_percent,mean_seedwise_reduction_percent,spar_wins,ties,paired_t_two_sided_p,corrected_resampled_t_two_sided_p,wilcoxon_one_sided_p
lasso,4,1.5805434584617615,0.1690317586973641,1.2318230271339417,0.11455410472899305,0.3487204313278198,0.22390394034066127,0.47353692231497835,0.21273782692735232,0.1789080055370273,0.5185328571186123,22.063324450895287,21.905370686714235,4,0,0.003000128514916817,0.007281446809506128,0.0625
lightgbm,4,1.6019595861434937,0.18322295771453867,1.2318230271339417,0.11455410472899305,0.370136559009552,0.23882489319157918,0.5014482248275248,0.21273782692735232,0.1914874692071959,0.5487856488119081,23.105236999180917,22.910303903304392,4,0,0.002923587205492839,0.007100062693864446,0.0625
gru,4,1.5445190370082855,0.18255996849996828,1.2318230271339417,0.11455410472899305,0.31269600987434387,0.1870172187329638,0.4383748010157239,0.21273782692735232,0.14171042755759844,0.4836815921910893,20.245526431324034,20.016093895916022,4,0,0.004199669823766663,0.010101018880039371,0.0625
no_anchor,4,1.310664176940918,0.1272661779059678,1.2318230271339417,0.11455410472899305,0.07884114980697632,0.04778862520848752,0.10989367440546512,0.21273782692735232,0.036594292141828924,0.12108800747212371,6.015358563548373,5.979816523944759,4,0,0.003960738011303357,0.009542717508061292,0.0625
