tile,seed,lasso_direct_raw_rmse,spar_direct_raw_rmse,lasso_direct_equal_cell_rmse,spar_direct_equal_cell_rmse,reduction_percent,lasso_core_seconds,spar_core_seconds,raw_train_points,raw_test_points,test_train_ratio
E29N33,42,1.4003970623016357,1.0597776174545288,1.0412580503016369,0.7879560476309729,24.323061938396147,8.62814939999953,19.199580099899322,101582,24840,0.2445315114882558
E29N33,43,1.6850062608718872,1.3632601499557495,1.3851750814256134,1.1118572698831162,19.094653734381605,9.015882399864495,25.16407800046727,100694,22031,0.21879158639045027
E29N33,44,1.5011948347091675,1.2051634788513184,1.1294629922302808,0.9118247935726391,19.719715856549723,8.079410100355744,27.03806659951806,100501,21072,0.20966955552681069
E29N33,45,1.6040209531784058,1.2422837018966675,1.3089095670608901,1.0130214613262998,22.551903113543954,8.139057700056583,27.209454899653792,104543,20021,0.1915097137063218
E29N33,46,1.5174082517623901,1.2072705030441284,1.2733827743453285,0.9983653136959606,20.438649147851475,8.712353700306267,25.91569139994681,104371,20551,0.1969033543800481
E36N31,42,1.2209727764129639,0.5759822130203247,1.0964404871599287,0.5021636946508459,52.825957781591605,7.502435099799186,24.90527809970081,139335,29786,0.21377256252915636
E36N31,43,1.5880473852157593,0.7547852396965027,1.3950967189789971,0.6452461158636671,52.47086159246097,8.452323600184172,30.88294090004638,143319,27886,0.1945729456666597
E36N31,44,1.3154511451721191,0.6178009510040283,1.2343685527610946,0.5490035024233308,53.035051642059074,8.795315800234675,32.551022900268435,138892,32610,0.2347867407770066
E36N31,45,1.504778504371643,0.7070730924606323,1.3313257170129327,0.5955064744356546,53.011483722922534,8.951344899833202,31.205208799801767,139769,32149,0.23001523943077506
E36N31,46,1.40419340133667,0.6558861136436462,1.2613365422737017,0.5739656725089338,53.29089903005528,7.921077700331807,29.19221660029143,143796,29683,0.20642437898133467
E37N41,42,1.5465713739395142,1.5284391641616821,1.4575418994078126,1.4361420828400986,1.1724133837835522,7.181488799396902,9.0112801999785,16165,3799,0.2350139189607176
E37N41,43,1.794079065322876,1.7705962657928467,1.6825963262909005,1.6639529459450928,1.3089054983094157,7.554684299975634,10.504796500317752,16766,3218,0.19193606107598712
E37N41,44,1.8296568393707275,1.7850812673568726,1.740081905293627,1.6853421271027627,2.436280457333509,7.503750300034881,8.137858199886978,16558,3287,0.1985143133228651
E37N41,45,1.6526596546173096,1.632190465927124,1.5768192692865914,1.5579867071357623,1.2385604400154246,7.6716747004538774,9.634105700068176,16582,3698,0.22301290556024606
E37N41,46,1.8226323127746582,1.8014271259307861,1.7483881576941125,1.7302824075369017,1.1634374467766708,7.4959279000759125,8.172120000235736,15925,3780,0.23736263736263735
