tile,seed,lasso_direct_raw_rmse,lasso_direct_equal_cell_rmse,lasso_core_seconds,lasso_training_seconds,lasso_inference_seconds,spar_direct_raw_rmse,spar_direct_equal_cell_rmse,spar_core_seconds,spar_anchor_seconds,spar_training_seconds,spar_inference_seconds,spar_parameter_count,raw_train_points,raw_test_points,test_train_ratio,lightgbm_direct_raw_rmse,lightgbm_direct_equal_cell_rmse,lightgbm_core_seconds,lightgbm_training_seconds,lightgbm_inference_seconds,lightgbm_parameter_count,gru_direct_raw_rmse,gru_direct_equal_cell_rmse,gru_core_seconds,gru_training_seconds,gru_inference_seconds,gru_parameter_count,no_anchor_direct_raw_rmse,no_anchor_direct_equal_cell_rmse,no_anchor_core_seconds,no_anchor_training_seconds,no_anchor_inference_seconds,no_anchor_anchor_seconds,no_anchor_parameter_count
E32N34,42,1.2151602506637573,1.0954866720450094,8.0748397000134,8.06563870003447,0.009200999978929758,0.907241940498352,0.8034402853017659,23.092397899832577,1.2695415001362562,19.53174139978364,2.291114999912679,33210,89865,20236,0.2251822177711011,1.1981093883514404,1.1004490553047803,18.23514759959653,17.81835799990222,0.4167895996943116,,1.1428416967391968,1.0511226605396435,145.47676969971508,144.6635464997962,0.8132231999188662,3393,0.9866735339164734,0.8913692046660984,21.003198700025678,18.86070689978078,2.1424914998933673,3.003515303134918e-07,33210
E32N34,43,1.3420703411102295,1.1249556726185352,7.8092709998600185,7.799980400130153,0.00929059972986579,1.1013094186782837,0.9152117176754644,22.398760000243783,1.3148222002200782,18.884261100087315,2.19967669993639,33210,90376,19860,0.2197486058245552,1.3531627655029297,1.1250528781152183,22.194573800079525,21.60742689995095,0.5871469001285732,,1.2998242378234863,1.0785416714613942,103.6246907999739,102.75346089992672,0.871229900047183,3393,1.1575981378555298,0.96038879945033,27.6382596003823,24.960358700249344,2.6779004000127316,5.00120222568512e-07,33210
E32N34,44,1.6625996828079224,1.4527331643378643,7.23124249977991,7.222047199960798,0.009195299819111824,1.319554090499878,1.1359753991948365,21.710987200029194,1.344966699834913,18.208100900053978,2.1579196001403034,33210,90238,19756,0.21893215718433476,1.6975653171539307,1.4827802235731238,25.33765110000968,24.822136600036174,0.5155144999735057,,1.6468605995178223,1.4474922045215326,93.61888210009784,92.7970922999084,0.8217898001894355,3393,1.4221748113632202,1.223640508970122,25.189692200161517,22.831974599976093,2.3577171000652015,5.00120222568512e-07,33210
E32N34,45,1.7290350198745728,1.399344336057742,7.167148100212216,7.1588630001060665,0.008285100106149912,1.3360460996627808,1.0670301255851484,22.628494100179523,1.2713206000626087,19.23348469985649,2.1236888002604246,33210,89022,18414,0.2068477455011121,1.7732596397399902,1.4369035342287502,21.51912140008062,21.18321149982512,0.33590990025550127,,1.7144449949264526,1.380558338634317,82.3875755998306,81.56129649979994,0.8262791000306606,3393,1.4084573984146118,1.1361027513965936,23.447376899886876,20.988960899878293,2.4584156000055373,4.00003045797348e-07,33210
E32N34,46,1.5884687900543213,1.3106450241596275,7.18205689964816,7.17342869983986,0.008628199808299541,1.1703824996948242,0.9858941847827998,23.65007880004123,1.409400099888444,19.967182700056583,2.273496000096202,33210,90433,18577,0.20542279919940729,1.583850622177124,1.305068540068236,28.172153499908745,27.746711700223386,0.425441799685359,,1.5169463157653809,1.2592918754032552,105.36202580016106,104.21514180023223,1.146883999928832,3393,1.25442636013031,1.0447252822239876,26.582529000006616,23.985390999820083,2.5971373999491334,6.002373993396759e-07,33210
