epoch,train_standardized_mse,val_native_cell_rmse
1,0.17720969234194076,1.9398251222267107
2,0.1348013882126127,1.8260431146334535
3,0.1236466143812452,1.7734155007916086
4,0.11726761566741126,1.7356617839920148
5,0.1128947566662516,1.7057139127096344
6,0.10965635052749088,1.6859529697192137
7,0.10671012571879795,1.6622156975709652
8,0.1043234795331955,1.647799396923861
9,0.10247434633118765,1.6283455075301838
10,0.09979787745646068,1.6113844517100684
11,0.09937307366303035,1.5946868830871586
12,0.0960586143391473,1.5786365440573844
13,0.09455011572156634,1.5676994381733804
14,0.09253933685166495,1.5568758734881725
15,0.09104172715118954,1.541785338048219
16,0.08986700432641166,1.5313772953586038
17,0.08771245500871114,1.5140290655425948
18,0.08648277521133423,1.5114528291699176
19,0.08535263751234327,1.4927692593680708
20,0.08350874313286373,1.4828493990732783
21,0.08262851940734046,1.4647663592650624
22,0.0809424061860357,1.4614087625006722
23,0.08013035442147937,1.442674315499365
24,0.07846372021096093,1.434244813988766
25,0.07711151710578373,1.4205407941341075
26,0.07593521560941424,1.4117840970269788
27,0.07603634233985629,1.4039363263102103
28,0.07351051228387015,1.3901180192567637
29,0.07236723623105458,1.3783201785818886
30,0.07151959027562822,1.3708910630606799
31,0.07063183188438416,1.360214012773918
32,0.06944697009665625,1.3514395608669776
33,0.06866161642330033,1.3386323822028072
34,0.0671968192926475,1.3291753403031061
35,0.06631662920117379,1.3211379363883489
36,0.06540464418275016,1.316192851640795
37,0.06448414421507291,1.3005296866069145
38,0.06371402963995934,1.2926107474909008
39,0.06314800051706178,1.2911223283066866
40,0.062290554812976295,1.273686368891608
41,0.060795870955501284,1.2635541969990671
42,0.05980436514530863,1.2573832850645144
43,0.05939408860036305,1.2454337825912476
44,0.058165107241698676,1.2370932042797058
45,0.057526446559599466,1.2277614157786763
46,0.05662392984543528,1.217697279085414
47,0.05584998822637967,1.2096566673706906
48,0.055073856243065426,1.2083124499849471
49,0.05439851230808667,1.1955953135198216
50,0.05368092390043395,1.184350333439083
51,0.05305415668657848,1.2025885412456534
52,0.052216745274407526,1.1692316737994277
53,0.051244935074022835,1.1668584986245971
54,0.051418994686433246,1.1681663858107258
55,0.05064318467463766,1.149298106410838
56,0.049367859427418025,1.1389219179208854
57,0.04861363513129098,1.133440011579025
58,0.0480747640132904,1.1240048274790921
59,0.047304077020713264,1.1164168139595687
60,0.046632912222828185,1.1072607830566752
