tile,baseline,candidate,pair_count,baseline_rmse_mean,candidate_rmse_mean,ratio_of_means_reduction_percent,paired_difference_mean_mm,paired_difference_sd_mm,wins,ordinary_paired_t_two_sided_p,mean_test_train_ratio,corrected_resampled_se_mm,corrected_resampled_ci95_low_mm,corrected_resampled_ci95_high_mm,corrected_resampled_t_two_sided_p,exact_wilcoxon_greater_statistic,exact_wilcoxon_greater_p
E29N33,Persistence,SPAR,4,1.8925220966339111,0.8788933385899267,53.5596788986956,1.0136287580439844,0.07009162185624734,4,9.075624177655049e-05,0.22297138550508566,0.04820405161025992,0.8602219520971809,1.1670355639907881,0.000235266447912935,10.0,0.0625
E29N33,DLinear,SPAR,4,1.4224034249782562,0.8788933385899267,38.21068459509917,0.5435100863883295,0.032173717722947685,4,5.7002474148402446e-05,0.22297138550508566,0.022126803582769007,0.4730927220785957,0.6139274506980633,0.00014791723171765102,10.0,0.0625
E29N33,LASSO,SPAR,4,1.5547029972076416,0.8788933385899267,43.46873067277272,0.6758096586177149,0.04424954608114916,4,7.70834018828956e-05,0.22297138550508566,0.030431702770424212,0.5789623985724696,0.7726569186629603,0.00019990108474410046,10.0,0.0625
E36N31,Persistence,SPAR,4,2.2087303400039673,0.5768495857415877,73.88320451375012,1.6318807542623797,0.10834751813034241,4,8.036224660156507e-05,0.1992627299286594,0.07262216024549256,1.4007646287073503,1.862996879817409,0.0001929857652932418,10.0,0.0625
E36N31,DLinear,SPAR,4,1.0479892790317535,0.5768495857415877,44.9565375063241,0.4711396932901658,0.07164800864494912,4,0.0009496811591948945,0.1992627299286594,0.0480235565601459,0.3183073031487197,0.6239720834316119,0.0022509947884268235,10.0,0.0625
E36N31,LASSO,SPAR,4,1.3453841507434845,0.5768495857415877,57.123801003392984,0.7685345650018968,0.10403155788782138,4,0.0006726202051282722,0.1992627299286594,0.06972929881447691,0.5466248156197024,0.9904443143840911,0.0015995711242933629,10.0,0.0625
E37N41,Persistence,SPAR,4,1.7159057259559631,1.5703796014643665,8.481009317136076,0.14552612449159652,0.04311538569637592,4,0.006639984590188282,0.21825640715776606,0.029503540787742435,0.051632690118842056,0.23941955886435098,0.015976083667170037,10.0,0.0625
E37N41,DLinear,SPAR,4,1.59201979637146,1.5703796014643665,1.3592918226529536,0.021640194907093346,0.02566554020591504,3,0.19031961698169214,0.21825640715776606,0.017562740076990813,-0.034252282361593916,0.07753267217578061,0.30565350182762885,9.0,0.125
E37N41,LASSO,SPAR,4,1.5976001620292664,1.5703796014643665,1.7038406236967572,0.027220560564899743,0.018056771029299014,4,0.05698497230129978,0.21825640715776606,0.012356115385571723,-0.012102113191579021,0.06654323432137851,0.1148492521255647,10.0,0.0625
