tile,model,seed_count,rmse_mean,rmse_sd,mae_mean,mae_sd,core_seconds_mean,core_seconds_sd,parameter_count
E29N33,Persistence,4,1.8925220966339111,0.09764428965852379,1.2510003447532654,0.06943850844772659,0.0001369499987049494,4.422913985391964e-05,0
E29N33,DLinear,4,1.4224034249782562,0.059330392871620126,0.9260739833116531,0.0433228925315285,47.57521107499997,12.514943464327468,602
E29N33,LASSO,4,1.5547029972076416,0.07017535929420442,1.0237808972597122,0.05386806827616832,5.497423100003289,0.524683304867352,301
E29N33,SPAR,4,0.8788933385899267,0.035436785634273854,0.6050524912033302,0.023499446028751984,61.22428877499806,0.9877248715842931,33210
E36N31,Persistence,4,2.2087303400039673,0.15087998312059825,1.6398099958896637,0.10743974938804424,0.00015079999866429716,9.21520572518741e-06,0
E36N31,DLinear,4,1.0479892790317535,0.12735860129265547,0.7031576037406921,0.07955588474051276,56.19353567500184,1.3437678669967101,602
E36N31,LASSO,4,1.3453841507434845,0.16018989970350078,0.900593489408493,0.10187845820820632,5.8363834749998205,0.297270289489632,301
E36N31,SPAR,4,0.5768495857415877,0.056214458179892894,0.4144421800094915,0.03455745778964802,73.0534642750008,6.520917149779709,33210
E37N41,Persistence,4,1.7159057259559631,0.14288335314991787,1.1448442339897156,0.06852542770306021,4.40500007243827e-05,1.3250030823396126e-05,0
E37N41,DLinear,4,1.59201979637146,0.11159537739026565,1.0838260650634766,0.05124938590598639,6.470970950000265,0.32668426928637456,602
E37N41,LASSO,4,1.5976001620292664,0.10533497627303752,1.0900525450706482,0.045320412660737164,5.202038174997142,0.09321736520590894,301
E37N41,SPAR,4,1.5703796014643665,0.10958672398328732,1.0755701327455576,0.04980787340013003,4.73302042499563,2.1123282463914803,33210
