seed,variant,rmse,mae,bias,core_seconds,parameter_count,test_train_ratio
47,SPAR,0.8970147457033543,0.6303761748853841,0.04338109582520892,71.91258759999982,33210,0.2163354399277739
47,SPAR without anchor,0.9571816794726096,0.6626826516882459,-0.017609256663400536,54.2475615000003,33210,0.2163354399277739
48,SPAR,0.6492420070748803,0.43662193456672077,0.042949692014219006,69.89477610000176,33210,0.2221887281171847
48,SPAR without anchor,0.6540869114767234,0.43745815074957173,0.026816158042404017,55.032264000001305,33210,0.2221887281171847
49,SPAR,0.8051959331100549,0.5330679114787628,0.043713694070510525,59.75892919999751,33210,0.22160323959102401
49,SPAR without anchor,0.853251598484024,0.5564653722980238,0.06069155452544493,53.871485999996366,33210,0.22160323959102401
50,SPAR,0.9550667887559113,0.6492839955211006,0.026677276337729233,71.12034709999716,33210,0.2148845666056858
50,SPAR without anchor,0.9834153041861647,0.6513956971384821,0.00854857421879869,53.40751850000379,33210,0.2148845666056858
