tile,seed,target_date,model,rmse,mae,bias,training_seconds,inference_seconds,core_seconds,parameter_count,train_cells,val_cells,test_cells,test_train_ratio
E29N33,47,20221217,Persistence,1.8563591241836548,1.2065352201461792,0.03357606381177902,0.0,0.00010959999781334773,0.00010959999781334773,0,101576,22362,21560,0.2122548633535481
E29N33,47,20221217,DLinear,1.4049919843673706,0.9134382605552673,-0.07264892011880875,66.24150949999603,0.002656399999978021,66.244165899996,602,101576,22362,21560,0.2122548633535481
E29N33,47,20221217,LASSO,1.5412806272506714,1.0168606042861938,-0.07606106251478195,6.2249529000037,0.0085042999999132,6.233457200003613,301,101576,22362,21560,0.2122548633535481
E29N33,47,20221217,SPAR,0.856228541320336,0.5919129003285117,-0.007592545374744125,62.19785550000233,0.0015724999975645915,62.1994279999999,33210,101576,22362,21560,0.2122548633535481
E29N33,48,20221217,Persistence,1.8175829648971558,1.2054378986358643,0.23572871088981628,0.0,0.00018950000230688602,0.00018950000230688602,0,100891,20811,23796,0.23585850075824405
E29N33,48,20221217,DLinear,1.367240071296692,0.8830019235610962,-0.024223431944847107,43.2035864999998,0.003316000002087094,43.20690250000189,602,100891,20811,23796,0.23585850075824405
E29N33,48,20221217,LASSO,1.4898154735565186,0.9708331227302551,-0.015154409222304821,5.40045029999601,0.014163700005155988,5.4146140000011656,301,100891,20811,23796,0.23585850075824405
E29N33,48,20221217,SPAR,0.8432226831809146,0.5809518126809992,0.035732984736970064,60.70633950000047,0.0013421999974525534,60.70768169999792,33210,100891,20811,23796,0.23585850075824405
E29N33,49,20221217,Persistence,2.0361292362213135,1.3524036407470703,0.13705623149871826,0.0,0.00015629999688826501,0.00015629999688826501,0,101783,20167,23548,0.23135494139492843
E29N33,49,20221217,DLinear,1.5065478086471558,0.9860532283782959,-0.05680404603481293,40.47247860000061,0.003370600003108848,40.47584920000372,602,101783,20167,23548,0.23135494139492843
E29N33,49,20221217,LASSO,1.6543433666229248,1.0987807512283325,-0.05623159930109978,5.337937100004638,0.011650899999949615,5.349588000004587,301,101783,20167,23548,0.23135494139492843
E29N33,49,20221217,SPAR,0.9198868020326726,0.6339137563325309,-0.025719338539796063,61.88922939999611,0.0013087999977869913,61.8905381999939,33210,101783,20167,23548,0.23135494139492843
E29N33,50,20221217,Persistence,1.8600170612335205,1.2396246194839478,0.2466205209493637,0.0,9.239999781129882e-05,9.239999781129882e-05,0,101343,22628,21527,0.21241723651362204
E29N33,50,20221217,DLinear,1.4108338356018066,0.9218025207519531,0.05491006374359131,40.3715058999951,0.0024208000031649135,40.373926699998265,602,101343,22628,21527,0.21241723651362204
E29N33,50,20221217,LASSO,1.5333725214004517,1.0086491107940674,0.07915172725915909,4.984043500000553,0.007989700003236067,4.992033200003789,301,101343,22628,21527,0.21241723651362204
E29N33,50,20221217,SPAR,0.8962353278257832,0.6134314954712791,0.04124016007923762,60.09806859999662,0.0014386000038939528,60.09950720000052,33210,101343,22628,21527,0.21241723651362204
E36N31,47,20221217,Persistence,2.4011168479919434,1.7642412185668945,1.0381473302841187,0.0,0.00014910000027157366,0.00014910000027157366,0,147081,26970,27884,0.1895826109422699
E36N31,47,20221217,DLinear,1.1417744159698486,0.7557202577590942,0.03318316489458084,58.16628849999688,0.0029280000017024577,58.16921649999858,602,147081,26970,27884,0.1895826109422699
E36N31,47,20221217,LASSO,1.480515718460083,0.9790515899658203,0.016996469348669052,5.781474999996135,0.011805200003436767,5.793280199999572,301,147081,26970,27884,0.1895826109422699
E36N31,47,20221217,SPAR,0.6251352588576365,0.441130414498261,0.022026611331451094,66.73377069999697,0.001476500001444947,66.73524719999841,33210,147081,26970,27884,0.1895826109422699
E36N31,48,20221217,Persistence,2.20398211479187,1.5532838106155396,0.5324894189834595,0.0,0.00016429999959655106,0.00016429999959655106,0,141616,30734,29585,0.20891001016834257
E36N31,48,20221217,DLinear,1.1601046323776245,0.7733542919158936,-0.09819599986076355,55.15643950000231,0.002753699998720549,55.15919320000103,602,141616,30734,29585,0.20891001016834257
E36N31,48,20221217,LASSO,1.470808744430542,0.9830957055091858,-0.1155921146273613,5.46399659999588,0.008967300003860146,5.4729638999997405,301,141616,30734,29585,0.20891001016834257
E36N31,48,20221217,SPAR,0.6211227609808869,0.4441439571353618,-0.0012763938212567978,68.92076639999868,0.0014599999994970858,68.92222639999818,33210,141616,30734,29585,0.20891001016834257
E36N31,49,20221217,Persistence,2.0322821140289307,1.5468926429748535,0.9451659321784973,0.0,0.00014489999739453197,0.00014489999739453197,0,142882,28592,30461,0.21318990495653756
E36N31,49,20221217,DLinear,0.8898229598999023,0.598406970500946,-0.0037041513714939356,55.7404411000025,0.003617599999415688,55.744058700001915,602,142882,28592,30461,0.21318990495653756
E36N31,49,20221217,LASSO,1.1478536128997803,0.7690190076828003,-0.023578818887472153,6.186381700004858,0.009062400000402704,6.195444100005261,301,142882,28592,30461,0.21318990495653756
E36N31,49,20221217,SPAR,0.5092980501630323,0.37213548512648176,-0.006838857764860958,75.44946950000303,0.0016625000062049367,75.45113200000924,33210,142882,28592,30461,0.21318990495653756
E36N31,50,20221217,Persistence,2.197540283203125,1.6948223114013672,0.9786971807479858,0.0,0.00014489999739453197,0.00014489999739453197,0,142117,33474,26344,0.18536839364748764
E36N31,50,20221217,DLinear,1.0002551078796387,0.6851488947868347,0.010273223742842674,55.69897540000238,0.002698900003451854,55.701674300005834,602,142117,33474,26344,0.18536839364748764
E36N31,50,20221217,LASSO,1.2823585271835327,0.8712076544761658,0.009035774506628513,5.874165599998378,0.009680099996330682,5.883845699994708,301,142117,33474,26344,0.18536839364748764
E36N31,50,20221217,SPAR,0.5518422729647953,0.4003588632778614,0.02035281187584615,81.10333369999717,0.0019178000002284534,81.1052514999974,33210,142117,33474,26344,0.18536839364748764
E37N41,47,20221217,Persistence,1.6922638416290283,1.1270111799240112,-0.1866201013326645,0.0,4.220000118948519e-05,4.220000118948519e-05,0,16492,3498,3580,0.21707494542808634
E37N41,47,20221217,DLinear,1.5748622417449951,1.0690853595733643,-0.09614600241184235,6.472565099997155,0.0007389000020339154,6.473303999999189,602,16492,3498,3580,0.21707494542808634
E37N41,47,20221217,LASSO,1.567160725593567,1.0577982664108276,-0.08083070069551468,5.192690999996557,0.01097239999944577,5.203663399996003,301,16492,3498,3580,0.21707494542808634
E37N41,47,20221217,SPAR,1.5171688407986341,1.0370239452422498,-0.18058000219226217,7.692059799999697,0.0009449999997741543,7.693004799999471,33210,16492,3498,3580,0.21707494542808634
E37N41,48,20221217,Persistence,1.7085776329040527,1.158888816833496,-0.05165376141667366,0.0,2.8800001018680632e-05,2.8800001018680632e-05,0,16452,3248,3870,0.23522975929978118
E37N41,48,20221217,DLinear,1.5951076745986938,1.1141784191131592,-0.05316075310111046,6.136646400002064,0.001271900000574533,6.137918300002639,602,16452,3248,3870,0.23522975929978118
E37N41,48,20221217,LASSO,1.5844589471817017,1.1192328929901123,-0.09777862578630447,5.259818200000154,0.010246399993775412,5.27006459999393,301,16452,3248,3870,0.23522975929978118
E37N41,48,20221217,SPAR,1.5785084496136703,1.1095484017315067,-0.06481401525168302,2.6795749999946565,0.001269199994567316,2.680844199989224,33210,16452,3248,3870,0.23522975929978118
E37N41,49,20221217,Persistence,1.557962417602539,1.0643832683563232,-0.07738827913999557,0.0,6.10999995842576e-05,6.10999995842576e-05,0,16590,3243,3737,0.2252561784207354
E37N41,49,20221217,DLinear,1.4631177186965942,1.0184916257858276,-0.015915781259536743,6.9135616999992635,0.000753400003304705,6.914315100002568,602,16590,3243,3737,0.2252561784207354
E37N41,49,20221217,LASSO,1.494415521621704,1.045409083366394,-0.03199000656604767,5.059145899998839,0.010566400000243448,5.0697122999990825,301,16590,3243,3737,0.2252561784207354
E37N41,49,20221217,SPAR,1.4662041468295206,1.0289066279033368,0.04104272534351538,4.258006699994439,0.0011185999974259175,4.259125299991865,33210,16590,3243,3737,0.2252561784207354
E37N41,50,20221217,Persistence,1.9048190116882324,1.2290936708450317,-0.03320242464542389,0.0,4.410000110510737e-05,4.410000110510737e-05,0,16934,3326,3310,0.19546474548246132
E37N41,50,20221217,DLinear,1.7349915504455566,1.1335488557815552,0.04205978661775589,6.357367999997223,0.0009783999994397163,6.3583463999966625,602,16934,3326,3310,0.19546474548246132
E37N41,50,20221217,LASSO,1.7443654537200928,1.1377699375152588,0.035179972648620605,5.252630700000736,0.012081699998816475,5.264712399999553,301,16934,3326,3310,0.19546474548246132
E37N41,50,20221217,SPAR,1.7196369686156414,1.1268015561051374,0.04683955025850736,4.29818840000371,0.0009189999982481822,4.299107400001958,33210,16934,3326,3310,0.19546474548246132
