baseline,n,baseline_mean_rmse,baseline_std_rmse,spar_mean_rmse,spar_std_rmse,mean_paired_reduction_mm,paired_reduction_ci95_low_mm,paired_reduction_ci95_high_mm,corrected_resampled_ci95_low_mm,corrected_resampled_ci95_high_mm,ratio_of_means_reduction_percent,spar_wins,paired_t_two_sided_p,corrected_resampled_t_two_sided_p,wilcoxon_one_sided_p
persistence,5,1.7341320514678955,0.25067906891551284,1.1669068098068238,0.17581967621117908,0.5672252416610718,0.46203424865455667,0.6724162346675869,0.4156577038472816,0.718792779474862,32.709460688471275,5,0.00011595223202162909,0.0004844455390839164,0.03125
linear_trend,5,2.1361799478530883,0.356072013969931,1.1669068098068238,0.17581967621117908,0.9692731380462647,0.725339708408444,1.2132065676840853,0.6177944775264615,1.320751798566068,45.37413334585446,5,0.0003837724732560527,0.001563738923403673,0.03125
dlinear,5,1.4142065286636352,0.2281912077310934,1.1669068098068238,0.17581967621117908,0.2472997188568115,0.16194992536049513,0.3326495123531279,0.12432095724030225,0.3702784804733208,17.48681779106896,5,0.0012961236307193447,0.005046760499550973,0.03125
lasso,5,1.5074668169021606,0.21938500243725603,1.1669068098068238,0.17581967621117908,0.3405600070953369,0.2532218713077853,0.4278981428828885,0.21471628397594603,0.4664037302147278,22.591542531940206,5,0.000412979920570979,0.0016792910104410166,0.03125
lightgbm,5,1.521189546585083,0.2404100364514423,1.1669068098068238,0.17581967621117908,0.3542827367782593,0.2552279299316419,0.45333754362487666,0.21155670336746632,0.4970087701890522,23.289848235782863,5,0.0005774208240383976,0.0023237170734515546,0.03125
gru,5,1.4641835689544678,0.23930115693653034,1.1669068098068238,0.17581967621117908,0.29727675914764407,0.20216624048559528,0.39238727780969285,0.16023396943934246,0.4343195488559457,20.303243763343207,5,0.0009704320399263844,0.00382906956107131,0.03125
