baseline,n,baseline_mean_rmse,baseline_std_rmse,spar_mean_rmse,spar_std_rmse,mean_paired_reduction_mm,paired_reduction_ci95_low_mm,paired_reduction_ci95_high_mm,corrected_resampled_ci95_low_mm,corrected_resampled_ci95_high_mm,ratio_of_means_reduction_percent,spar_wins,paired_t_two_sided_p,corrected_resampled_t_two_sided_p,wilcoxon_one_sided_p
persistence,4,1.8195026814937592,0.18761404793630274,1.2318230271339417,0.11455410472899305,0.5876796543598175,0.45665476848893594,0.7187045402306991,0.40942072773300475,0.7659385809866303,32.29891664008703,4,0.0007450856543463243,0.0018488237869973753,0.0625
linear_trend,4,2.2580188512802124,0.264735559105012,1.2318230271339417,0.11455410472899305,1.0261958241462708,0.7512357599709243,1.3011558883216172,0.6521135604651732,1.4002780878273682,45.44673413884282,4,0.0012833129538462873,0.0031641415059542695,0.0625
dlinear,4,1.4891973733901978,0.1787105418332785,1.2318230271339417,0.11455410472899305,0.2573743462562561,0.13805093413306802,0.3766977583794442,0.09503523620742688,0.41971345630508533,17.282755855950544,4,0.006330597352473842,0.015014732484103085,0.0625
lasso,4,1.5805434584617615,0.1690317586973641,1.2318230271339417,0.11455410472899305,0.3487204313278198,0.22390394034066127,0.47353692231497835,0.1789080055370273,0.5185328571186123,22.063324450895287,4,0.003000128514916817,0.007281446809506128,0.0625
lightgbm,4,1.6019595861434937,0.18322295771453867,1.2318230271339417,0.11455410472899305,0.370136559009552,0.23882489319157918,0.5014482248275248,0.1914874692071959,0.5487856488119081,23.105236999180917,4,0.002923587205492839,0.007100062693864446,0.0625
gru,4,1.5445190370082855,0.18255996849996828,1.2318230271339417,0.11455410472899305,0.31269600987434387,0.1870172187329638,0.4383748010157239,0.14171042755759844,0.4836815921910893,20.245526431324034,4,0.004199669823766663,0.010101018880039371,0.0625
