model,partitions,mean_rmse,std_rmse,mean_mae,std_mae,mean_core_seconds,std_core_seconds,parameter_count
persistence,5,1.7341320514678955,0.25067906891551284,1.1073704838752747,0.1882365496111821,0.0001206599990837276,4.251773809744988e-05,0
linear_trend,5,2.1361799478530883,0.356072013969931,1.4678269147872924,0.2841250720998755,0.04487731999979587,0.006074431955920304,0
dlinear,5,1.4142065286636352,0.2281912077310934,0.9038249611854553,0.1712696173575945,38.83437084000034,1.4941511518530972,602
lasso,5,1.5074668169021606,0.21938500243725603,0.9792650938034058,0.17383651391741947,7.286168179999367,0.19201121582226507,301
lightgbm,5,1.521189546585083,0.2404100364514423,0.969554853439331,0.1782485854024885,23.09172947993502,3.798659111890577,
gru,5,1.4641835689544678,0.23930115693653034,0.9321073651313782,0.17761849254573803,106.0939887999557,23.84983725223371,3393
spar,5,1.1669068098068238,0.17581967621117908,0.7660031676292419,0.13716348643604123,25.401702939999087,1.1547869279316563,33210
