support,partitions,lasso_mean_rmse,spar_mean_rmse,mean_paired_reduction_mm,ratio_of_means_reduction_percent,spar_wins,paired_t_two_sided_p
native_100m_masked,5,1.5074667930603027,1.1669068098068238,0.340559983253479,22.591541307660208,5,0.0004129803488863474
128x128_idw_history,5,4.448876428604126,4.441045618057251,0.007830810546875,0.1760177130685593,5,0.08220086811176562
256x256_idw_history,5,3.716751146316528,3.6876981258392334,0.02905302047729492,0.7816778507242172,5,7.19663387760884e-05
512x512_idw_history,5,3.0178082466125487,2.940006685256958,0.07780156135559083,2.578081673775056,5,1.8829537532444383e-05
