quality_bin,model,partitions,mean_rmse,std_rmse,mean_mae,std_mae,mean_paired_rmse_reduction_mm,paired_t_two_sided_p,spar_wins
Q1,persistence,5,0.5890816628932953,0.13408789525664244,0.45366802215576174,0.1039923674720785,,,
Q1,linear_trend,5,0.9173057973384857,0.39701949667368325,0.6318252682685852,0.20280943569476367,,,
Q1,dlinear,5,0.44899489879608157,0.11163355335686898,0.3419958859682083,0.07857854416742216,,,
Q1,lasso,5,0.47568719983100893,0.11781572974968685,0.36514984965324404,0.0845628277997173,,,
Q1,spar,5,0.3941629707813263,0.07482379794542894,0.30365285873413084,0.0510231469148272,,,
Q1,spar_vs_lasso,5,,,,,0.08152422904968262,0.014635144083107827,5
Q2,persistence,5,0.9564901351928711,0.2741800239460971,0.7251276195049285,0.20230817596466957,,,
Q2,linear_trend,5,1.3615428924560546,0.4328241919723874,1.0352316498756409,0.3082746170938968,,,
Q2,dlinear,5,0.7844889283180236,0.24617760087955692,0.5929692566394806,0.17940251727688578,,,
Q2,lasso,5,0.835883092880249,0.251220389246637,0.639881706237793,0.18755520975415652,,,
Q2,spar,5,0.6271988272666931,0.1760166552449413,0.48290557861328126,0.13058079919361507,,,
Q2,spar_vs_lasso,5,,,,,0.2086842656135559,0.004170299674614276,5
Q3,persistence,5,1.5775542974472045,0.33745816794582784,1.1571221590042113,0.23634609261827505,,,
Q3,linear_trend,5,2.069614863395691,0.4644119164649823,1.5782481670379638,0.34987981202444246,,,
Q3,dlinear,5,1.2985690236091614,0.3099706984133252,0.948011600971222,0.21639963929011893,,,
Q3,lasso,5,1.3829395055770874,0.30744047186067625,1.029425287246704,0.21807018067385775,,,
Q3,spar,5,1.0325504064559936,0.2582844387659309,0.7775276184082032,0.1890243096376687,,,
Q3,spar_vs_lasso,5,,,,,0.35038909912109373,0.0003866045755288365,5
Q4,persistence,5,2.7896445274353026,0.2872004190858016,1.9794934749603272,0.20988412688806588,,,
Q4,linear_trend,5,3.2392054080963133,0.33067513203887217,2.476658058166504,0.27383155953443,,,
Q4,dlinear,5,2.271060752868652,0.26175424445574624,1.6340341329574586,0.19705629971624397,,,
Q4,lasso,5,2.421730709075928,0.23464673890217497,1.7747271537780762,0.1873178982101354,,,
Q4,spar,5,1.8986588716506958,0.20889239062970077,1.4201209783554076,0.171174086821668,,,
Q4,spar_vs_lasso,5,,,,,0.5230718374252319,0.000290962630211924,5
