epoch,train_weighted_smooth_l1,val_weighted_smooth_l1
1,0.27641258579353956,0.18716754019260406
2,0.27288721276577127,0.1843750774860382
3,0.26606502955736117,0.1833341121673584
4,0.2600296108528625,0.17983248829841614
5,0.25375554745280465,0.17854458093643188
6,0.2498083057445149,0.17796123027801514
7,0.24526950786280077,0.17869842052459717
8,0.2414398505244144,0.18019074201583862
9,0.23719454452741978,0.18063318729400635
10,0.23433401608882948,0.18458087742328644
11,0.23165254086949105,0.18315641582012177
12,0.22672124328308327,0.18499977886676788
13,0.22398650230363357,0.18765927851200104
14,0.2211420721439428,0.18880648910999298
15,0.2168752835240475,0.189357191324234
16,0.21381400768146958,0.18730196356773376
17,0.2108757367660833,0.19388777017593384
18,0.20805756245241608,0.19337385892868042
