epoch,train_loss,val_loss
1.0,45.31806945800781,49.422183990478516
2.0,45.307437896728516,49.403202056884766
3.0,45.285316467285156,49.39677429199219
4.0,45.22465515136719,49.409088134765625
5.0,45.1512565612793,49.41285705566406
6.0,45.07190704345703,49.41285705566406
7.0,44.9919319152832,49.41285705566406
8.0,44.91010284423828,49.41285705566406
9.0,44.826995849609375,49.41285705566406
10.0,44.74300765991211,49.41285705566406
11.0,44.658382415771484,49.41285705566406
12.0,44.57331466674805,49.41285705566406
13.0,44.48794174194336,49.41285705566406
