alpha,val_rmse,best_epoch
0.0001,1.3472508192062378,600.0
0.0005,1.3472843170166016,600.0
0.001,1.347326397895813,600.0
0.005,1.3476630449295044,600.0
0.01,1.3480854034423828,600.0
