epoch,train_raw_point_loss,val_raw_point_loss,gradient_l2_mean,epoch_seconds
1,0.3569697875242967,0.35285140438513324,0.02275560961033289,1.2004720997065306
2,0.3591967702676088,0.352395543997938,0.025100869747499626,0.729526299983263
3,0.3533897155370468,0.3514300300316377,0.033924708453317486,0.6961591001600027
4,0.35476030791417146,0.3518246127800508,0.051178522694569364,0.7128969002515078
5,0.350309214148766,0.351402840831063,0.07689109692970912,0.7014071997255087
6,0.34425979661635864,0.35362896052273834,0.10639947480880298,0.7099591000005603
7,0.3364466486068872,0.3539682694456794,0.1290993652282617,0.6822528000921011
8,0.33293558695377445,0.35454343394799664,0.14435336834345108,0.7417120998725295
9,0.3258423660046015,0.36035855927250604,0.15636340643350893,0.6429535998031497
10,0.3251002285725031,0.3644663122567264,0.1689179052527134,0.6588790998794138
11,0.31871071266822326,0.3658539950847626,0.1744527463347484,0.6133485999889672
12,0.3131714646632855,0.3689151717857881,0.1833121025791535,0.6127716000191867
13,0.310167520856246,0.3751387338746678,0.18984466141615158,0.6394266001880169
14,0.3070009090961554,0.3762588839639317,0.209069797816949,0.7011159001849592
15,0.3047143247647163,0.379860826513984,0.21113511213125327,0.6498282998800278
16,0.30182129603165847,0.3872141865166751,0.22005203366279602,0.5986835001967847
17,0.29786797288136607,0.390577493743463,0.2288932326512459,0.6357110999524593
