epoch,train_loss,val_loss,epoch_seconds
1,0.21403804766562054,0.3140474210182826,3.3060207000016817
2,0.2046343690222677,0.3291536346077919,2.260649600000761
3,0.20445577603052645,0.32234349598487216,2.2368891000005533
4,0.19846716062987552,0.3286328688263893,2.2796270000035292
5,0.2024117249118931,0.3425496866305669,2.263804299996991
6,0.2070739963913665,0.32870977371931076,2.398321799999394
7,0.20065058362396324,0.3080134391784668,2.2058990000004997
8,0.19550347722628536,0.31439805775880814,2.281601700000465
9,0.19466317779220202,0.31601567566394806,2.6055535999985295
10,0.1928425782962757,0.3011210709810257,2.1523182000019005
11,0.18949546686866703,0.2927095616857211,2.5030918000047677
12,0.1852396977791453,0.2895026008288066,2.198303600001964
13,0.18269578016856136,0.2868875414133072,2.261620999997831
14,0.178794477134943,0.2635869060953458,2.8169048000054318
15,0.1761947794653037,0.2569396222631137,2.5938309999983176
16,0.17653502644423177,0.2599089816212654,3.0218970000059926
17,0.17133302641484668,0.2651992365717888,1.9985747000027914
18,0.1679378457586555,0.2616334930062294,2.195765600001323
19,0.16697329326587565,0.2644283374150594,2.4416990000027
20,0.1670539047130767,0.2487685630718867,2.3864303000009386
21,0.1607487155124545,0.23739071190357208,2.2403132999970694
22,0.1569368961979361,0.24254605174064636,2.4922670000014477
23,0.15858493142706506,0.23835140466690063,2.2214348999987124
24,0.15285819264895775,0.22576454281806946,2.4082791000037105
25,0.15864100208615556,0.22382389257351556,2.4443494000006467
26,0.16201130481546416,0.2157641922434171,2.969321700002183
27,0.14975455359500997,0.23290016750494638,2.586706599999161
28,0.16465519445345683,0.2436348001162211,2.3364060999956564
29,0.1535610419643276,0.2103519638379415,2.5105256000024383
30,0.150909760966897,0.20292512575785318,1.9792712999987998
31,0.15490229318247123,0.19780233502388,2.4616404000043985
32,0.14503084780538783,0.1992682864268621,2.297064699996554
33,0.13765601200215957,0.2272057980298996,2.138139399998181
34,0.144761917016962,0.22081828117370605,2.6462376000054064
35,0.13904920099850962,0.2090603510538737,2.320054000003438
36,0.13735768146922483,0.20514817535877228,3.2114446999985375
37,0.13491511947530158,0.20287348330020905,2.692294499996933
38,0.1304430697551545,0.21060184141000113,2.7219694000013988
39,0.1325263408396174,0.20591488977273306,2.496845599998778
