epoch,train_standardized_mse,val_native_cell_rmse
1,0.11175064677777498,1.7008339477912298
2,0.07568491962940796,1.5638376643857823
3,0.06613018736243248,1.521489433794948
4,0.062228696987680764,1.4852966427517378
5,0.05878947351289832,1.4523359344638067
6,0.05702428341559742,1.4588461754468078
7,0.056859645020702614,1.4323036586848163
8,0.05577305526189182,1.409367511775836
9,0.05553654986231223,1.4283360936634681
10,0.054511843654124634,1.3957551528158063
11,0.053803556801184364,1.4018034212204789
12,0.053933761851943054,1.3898291772399751
13,0.05318607114579366,1.3875333196681496
14,0.05224345543462297,1.3924991189338827
15,0.05326918302022893,1.376590800914203
16,0.0521231630574102,1.3739909873072076
17,0.05213467841563017,1.3936393346451132
18,0.052317902283824005,1.3769480380573744
19,0.051389104484216026,1.3799297503489591
20,0.05186071441225384,1.401172471413917
21,0.052517905831336975,1.3650536649949605
22,0.05183405169974203,1.3667695196482559
23,0.05096018136195515,1.3850519423526546
24,0.0523716413780399,1.3912983149912677
25,0.051814941932325775,1.3600287998152143
26,0.05139712843558063,1.3570051730520019
27,0.050118993643833244,1.3575532073057308
28,0.050425164563500366,1.3528646727772546
29,0.05046121371181115,1.3723220200289534
30,0.050229361361783485,1.3490765382300902
31,0.050021995020949325,1.358139908420695
32,0.0506730139579462,1.360689485554432
33,0.05066289412586585,1.3453374223022871
34,0.049652240198591484,1.3508519662365226
35,0.05020052858668825,1.3364428263642658
36,0.049303692967995354,1.3377268503231878
37,0.049290359020233154,1.3477356810893
38,0.04933552848904029,1.3791520491477878
39,0.05074754843245382,1.335912856943345
40,0.04880030291235965,1.360431199040406
41,0.04947094198154366,1.330598244023896
42,0.048213238787391914,1.3291122592936921
43,0.04811799283260885,1.3301287613465347
44,0.04866215845812922,1.3228701491437191
45,0.04837958903416344,1.3216234727043106
46,0.048404357517543045,1.3231808033753236
47,0.04843905924454979,1.3401105963512594
48,0.04856975182243015,1.3567288217051678
49,0.04885967675110568,1.320901894270234
50,0.048504403265921966,1.3166267196520243
51,0.04826117809052053,1.3131215331603037
52,0.04790032136699428,1.3142725065809593
53,0.04734602959259697,1.3141543747529332
54,0.04789911194340042,1.3089144568725108
55,0.04799119723231896,1.3066434638177529
56,0.0475609940679177,1.3035536669927938
57,0.04695522849974425,1.3074597303923348
58,0.046579112663217216,1.3043402991225443
59,0.04675770453784777,1.2981131076828119
60,0.04763198903073435,1.3183365865236587
